Gene	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	SumNonZero
AKR1B1	0	0.63259	0.7494	0	0.032258	0	0.12371	0.40233	0.10615	0	0.74074	0.264	8
ZNF542	0.39024	0.20128	1	0	0.84194	0.33	0.10825	0.39535	0.51955	0	1	0.218	10
ZFP28	0	0.22684	0.68193	0	0.5	1	0	0.37442	0.19274	0	0.6358	0.096	8
GPX7	0	0.36102	0.53253	0	0.46452	0.314	0	0.36977	0.31285	0	0	0.084	7
ZNF671	1	0.38978	0.91807	0	0.79355	0.262	0	0.36512	0.56145	0.29795	0.9321	0.478	10
DMC1	0	1	0	0	0.29677	0	0.31443	0.35814	0.4581	0.20719	0	0.494	7
ACSS3	0	0.25559	0	0	0	0.08	0	0.34651	0.48603	0.14041	0	0.386	6
CD40	0	0.82428	0.78313	0	0.2129	0.214	0.48454	0.34651	0.29888	0	1	0.4	9
WASF3	0.089431	0.23003	1	0	0.46129	0.316	0	0.34651	0	0	0.52469	0.136	8
ZNF256	0.14634	0.063898	0.72771	0	0.45161	0	0	0.33953	0.20112	0	0.5679	0.094	8
BASP1	0.18699	0	0	0.4801	0.25806	0	0.10825	0.33953	0	0	0	0.116	6
MT1E	0	0.377	0	0	0.48065	0.546	0	0.32093	0.50838	0.13699	0.098765	0.538	8
ADHFE1	0.58537	0.22045	0	0	0.43548	0	0	0.31395	0.35754	0	0	0.574	6
ZFP82	0	0	0.85301	0.25622	0.84194	0	0	0.3093	0.43855	0	0.82099	0.28	7
UBXN10	0	0.095847	0.27952	0.83333	0.6	0.168	0	0.29535	0	0	0	0.08	7
ZSCAN18	0.38211	0.26837	1	0.1592	0.60323	0.148	0	0.29302	0.34637	0	0.64198	0.042	10
CAPS	1	0	0.50843	0	0.65806	0.828	0	0.2907	0.37989	1	0.45062	0	8
MFSD7	0	0.42812	0.83614	0	0	0.604	0.39175	0.28605	0.60335	0	0.82099	0	7
ZFP3	0	0	0.32289	0	0.3129	0	0.25258	0.28605	0.29888	0	0.08642	0.594	7
ZNF214	0.1626	0.28435	0	0	0.58387	0	0.5567	0.28372	0.18436	0	0	0.41	7
ALDOC	0.31707	0.58147	0	0	0.30323	0.206	0.41753	0.27907	0.10056	0.38014	0	0.508	9
CARD11	0	0	0.66506	0	0.54516	0	0	0.27209	0.29609	0	0.67284	1	6
ZNF625	0	0.063898	1	0	0.69355	0.106	0.16495	0.26512	0.42737	0	0.88889	0	8
ZNF702P	0	0.12141	0.3253	0	0.81935	0.09	0.072165	0.25814	0.45251	0	0	0	7
DNALI1	0	0.42173	0	0	1	1	0	0.22791	1	0.47603	0	0.422	7
ZNF570	0.20325	0.054313	0.51325	0	0.50968	0.146	0	0.22791	0.18994	0	0.41975	0	8
ZNF175	0.11382	0.14377	0	0	0.12581	0	0	0.21163	0.18994	0	0.16049	0.194	7
TMEM25	0.2439	0.060703	1	0	0.39032	0.32	0	0.20698	0.1676	0.19007	1	0.094	10
SLC16A5	0.33333	0.36741	0.096386	0	0.11935	0	0	0.20465	0.29609	0	0	0.4	7
CRISPLD1	0.39837	1	0	0	0.50645	0	0	0.1907	0.13408	0.2089	0	0.094	7
L3MBTL4	0	1	0.61205	0	0.33548	0	0.26289	0.18372	0	0	0.5	0.156	7
MRPS21	0.23577	0.34505	0	0	0.19355	0	0	0.15581	0.19553	0.57877	0	0.404	7
ZNF501	0.17886	1	0.17349	0	0.18065	0.358	0.07732	0.15581	0.083799	0	0	0.65	9
FUZ	0.14634	0.2492	1	0	0.34516	0	0	0.15349	0.10615	0	0.58642	0.14	8
RARRES3	0.4065	0.11182	0	0	0.26129	0	0	0.15116	0.28212	0.094178	0	0.252	7
ABO	0.21138	0.52396	0	0	0.46774	0	0	0.15116	0.28212	0	0	1	6
CHST10	0.33333	0	0	0	0.3129	0.134	0	0.13953	0.092179	0	0.75309	0	6
TMEM98	0	0.21406	0.096386	0	0.22581	0.076	0	0.13721	0.075419	0	0	0.108	7
MAP9	0.38211	0.21725	0	0	0.59677	0.324	0	0.13488	0.20112	0	0	0.046	7
ALKBH3	0.11382	0.20447	0.12771	0	0	0	0	0.13488	0.072626	0	0.10494	0.444	7
ZNF655	0.12195	0.15335	0.55904	0	0.074194	0	0	0.12791	0.2067	0.15753	1	0.14	9
ZNF350	0.097561	0	0.44337	0	0.46774	0.126	0	0.12558	0.22626	0	0.17901	0.066	8
MGMT	0.15447	0.054313	0.35422	0	0.30968	0	0.1701	0.11628	0.13687	0	0.40741	0	8
SPAG16	0	0.42173	0.39518	0	0.23871	0	0.14433	0.07907	0.027933	0	0.098765	0.254	8
BNIP3	0.30894	0	0.58554	0	0.18065	0.27	0	0.067442	0	0	0.41358	0	6
MYEF2	0.35772	0	0.3494	0	0.75806	0	0.24742	0.062791	0.19274	0	0.24074	0	7
NRSN2	0.34146	0.044728	0.28916	0	0.1129	0	0	0.053488	0	0	0.32716	0.09	7
CWH43	0.17886	0.17572	0.33976	0	1	0.126	0	0	1	0	0	0.148	7
PCDHB2	0	0.61022	0	0	1	1	0	0	1	0.47432	0.64815	1	7
ACAA2	0	0.36102	0.06988	0.28358	0	0	0	0	0.5419	0.18836	0	0.41	6
C1orf51	0	0.19489	0.72048	0	1	0.232	0	0	0.29609	0	0.78395	0.168	7
CHFR	0	0	1	0	0.31935	0	0.056701	0	0.25698	0	1	0.134	6
C2orf43	0.12195	0.13099	0	0	0.14839	0	0	0	0.1648	0.23116	0	0.55	6
HPDL	0.39024	0.23642	0.11566	0.31343	0.2	0	0	0	0.15642	0	0	0.288	7
C7orf13	0.35772	0.13099	0.033735	0.88806	0.29355	0	0	0	0.10335	0	0	0.308	7
CBR1	0.10569	0.48882	0	0	0.077419	0	0.37113	0	0.097765	0	0	0.106	6
NSUN7	0	0.095847	0.15422	0.28358	0.26129	0.144	0	0	0.072626	0	0	0.052	7
TRMT12	0.18699	0	0.33494	0	0.22258	0	0.07732	0	0.064246	0	0.3642	0.186	7
RBP1	0.26016	0.11182	0.65783	0.11194	0.070968	0	0	0	0.053073	0.39041	1	0	8
HOXA9	0.56911	0.75719	0.25542	0	0.92258	0.22	0.19588	0	0	0	0.48765	0.716	8
LTBP3	0	0.16613	0.53253	0	0.5	1	0.45876	0	0	0.2226	1	0.39	8
TSPYL5	0	1	1	0.9801	1	0.478	1	0	0	0	1	0.982	8
RPL39L	1	0.33546	0.63133	1	0.46129	0.238	0	0	0	0	1	0	7
ACOX2	0	1	0.20482	0	0	1	0.69072	0	0	1	0	1	6
AMT	0	0.89776	1	0	0	1	0.43814	0	0	0.86473	0	1	6
