Symbol	Estimate	Std. Error	t value	Pr(>|t|)
NA	-4.86E-06	3.80E-06	-1.281319576	0.200326329
PRSS48	3.10E-07	3.39E-07	0.914473475	0.360649849
NA	3.37E-07	1.98E-07	1.70441248	0.088560141
ADTRP	-3.20E-07	1.82E-07	-1.752612363	0.079921197
NDUFAF2	-7.37E-08	5.89E-08	-1.251177794	0.211110871
SEPSECS	-9.13E-07	2.88E-07	-3.171738375	0.001553284
NA	8.89E-07	1.92E-06	0.46213784	0.644065352
NA	6.00E-07	6.18E-07	0.970256327	0.332112165
DCDC2C	-6.49E-05	1.01E-05	-6.418323375	1.97E-10
CWC27	-5.43E-08	2.10E-07	-0.259047545	0.79564251
NA	-6.74E-07	2.44E-07	-2.760681968	0.005855012
NA	0	1.453387714	0	1
NA	-3.53E-06	6.51E-07	-5.414339032	7.41E-08
NA	0	1.453387714	0	1
NA	-2.91E-05	6.06E-05	-0.479261219	0.631839196
NA	3.96E-06	3.34E-06	1.18627046	0.235747808
NA	4.41E-07	5.58E-07	0.790437705	0.429426693
RP11-181C3.1	-3.30E-06	1.15E-06	-2.857103682	0.004348245
NA	-4.55E-06	1.62E-06	-2.802024682	0.005159068
NA	5.88E-06	6.53E-06	0.899981387	0.368308788
NA	4.11E-08	2.85E-07	0.14424318	0.885332406
LHX5	1.80E-06	1.64E-06	1.095891936	0.273343599
MYOM2	-7.18E-08	2.20E-08	-3.26066312	0.00114241
NA	5.03E-06	1.25E-06	4.035132952	5.80E-05
NA	1.50E-05	8.09E-06	1.858571433	0.063329987
NA	1.12E-05	1.98E-05	0.564573494	0.57246828
EVX1	2.02E-06	1.32E-06	1.525831368	0.127312548
NA	-2.48E-07	6.65E-07	-0.373194767	0.709068697
MAP9	2.07E-07	1.90E-07	1.092012763	0.275044334
NA	3.02E-06	8.31E-06	0.363847991	0.716034931
NA	2.47E-08	5.75E-08	0.43009098	0.667205857
APIP	-4.11E-07	1.76E-07	-2.337777175	0.019560703
NA	7.16E-07	1.12E-06	0.640266089	0.522120544
NA	3.05E-07	5.31E-06	0.057465763	0.954183642
MAF1	3.85E-08	1.29E-08	2.972419819	0.003012913
NA	1.99E-06	1.19E-05	0.167282602	0.867175576
FOXP1	-2.32E-07	9.36E-08	-2.477242688	0.013375621
OR5L2	1.91E-05	3.44E-05	0.553924918	0.579732326
PLCE1	-7.92E-07	2.44E-07	-3.249479661	0.001187884
PRAMEF4	8.88E-06	5.86E-05	0.151612618	0.879517691
RAD17	-6.81E-08	1.42E-07	-0.479741684	0.631497571
NA	4.81E-06	1.29E-06	3.736760766	0.000195078
NA	1.68E-06	1.68E-06	1.002455584	0.316323537
NA	4.47E-05	3.22E-05	1.389410718	0.164962872
NA	-1.26E-05	3.75E-05	-0.335439382	0.737351669
SPCS2	1.04E-07	2.37E-08	4.408258926	1.13E-05
NA	3.96E-06	1.13E-06	3.492889614	0.00049502
DGCR11	2.79E-06	7.14E-07	3.911481473	9.68E-05
SETDB2	-3.51E-06	3.00E-07	-11.69143232	5.36E-30
NA	-7.95E-08	5.56E-07	-0.142956934	0.886347936
DESI2	2.73E-07	4.70E-08	5.81400191	7.79E-09
PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
COX17	2.80E-07	3.89E-08	7.185646064	1.17E-12
NA	-9.98E-07	4.60E-07	-2.171113334	0.030115977
NLGN2	-1.91E-07	1.23E-07	-1.555579641	0.120068937
NA	-4.02E-06	3.03E-06	-1.329395518	0.183967477
SERPINE3	5.10E-07	2.84E-06	0.179985374	0.857194113
HAO1	1.67E-07	2.47E-07	0.676956647	0.498562536
NA	-5.82E-07	8.60E-07	-0.676888109	0.498606008
RP11-166A12.1	1.27E-05	4.07E-06	3.113039846	0.001895027
RP11-169F17.1	1.44E-06	1.31E-06	1.098559603	0.272178207
NA	3.42E-06	6.19E-06	0.55246184	0.580733753
PKMYT1	1.10E-06	9.57E-08	11.46699911	5.66E-29
NA	8.31E-07	3.24E-07	2.566483314	0.010392714
NA	3.72E-06	2.49E-05	0.149311319	0.881332804
NA	9.60E-07	1.04E-06	0.921812442	0.356809719
NA	1.49E-07	4.44E-07	0.336995747	0.736178403
NA	-5.28E-06	4.48E-06	-1.178430485	0.23885615
NA	-5.92E-07	4.20E-06	-0.140797307	0.888053447
NA	-8.83E-07	4.47E-06	-0.197772842	0.843255932
FAM89B	2.04E-07	3.18E-08	6.437414043	1.75E-10
RP4-607I7.1	1.62E-06	5.08E-07	3.182332379	0.001498024
NA	1.01E-07	2.47E-07	0.407557235	0.683670682
NA	1.63E-06	2.44E-06	0.667352433	0.504673976
NA	1.24E-06	1.42E-06	0.87253516	0.383089176
NA	-6.77E-09	9.40E-07	-0.007205821	0.994251821
MED8	4.67E-07	6.51E-08	7.169386701	1.31E-12
PHF1	-2.64E-07	5.47E-08	-4.830421532	1.54E-06
ZNF781	-2.25E-05	1.03E-06	-21.69798444	1.79E-88
NA	4.18E-09	2.98E-09	1.402128816	0.161132632
NA	4.79E-06	4.98E-06	0.962900644	0.335789298
NA	6.75E-06	8.40E-06	0.803466639	0.421862486
FAM69A	-1.73E-06	9.48E-08	-18.30035247	2.97E-66
NA	-8.53E-06	2.88E-05	-0.296498599	0.766900094
ANKMY1	1.43E-06	3.93E-07	3.649319292	0.000274111
PSMB6	6.26E-08	1.42E-08	4.411578138	1.12E-05
NA	1.56E-06	8.84E-07	1.767571401	0.077383961
GUCY1A3	-3.06E-07	4.29E-08	-7.130461207	1.71E-12
NA	1.20E-06	2.27E-07	5.292023829	1.43E-07
PRKG2	-3.52E-06	7.10E-07	-4.959269674	8.08E-07
NA	-5.29E-05	5.47E-06	-9.669260156	2.35E-21
FBXO45	1.10E-06	1.18E-07	9.329326522	4.90E-20
NA	1.37E-05	1.16E-05	1.183432314	0.236869731
NA	3.83E-06	8.72E-06	0.439349012	0.660486921
NA	9.01E-08	1.03E-07	0.873032633	0.382818079
AMZ2	1.58E-07	2.98E-08	5.315820714	1.26E-07
NA	7.34E-07	1.55E-06	0.474365569	0.635324622
NA	4.25E-06	8.63E-06	0.491650513	0.62305538
NA	2.65E-06	7.26E-06	0.364856908	0.715281823
TMEM52	-7.12E-08	9.92E-08	-0.7178383	0.472995218
NA	-1.08E-05	1.36E-05	-0.795262961	0.426616136
NA	9.84E-07	3.56E-06	0.276635432	0.782107184
CHN2	8.15E-07	3.18E-07	2.56268227	0.01050654
NA	5.10E-07	4.42E-07	1.154280556	0.248612524
LNCPRESS1	1.19E-06	1.79E-06	0.66754796	0.504549163
CTC-444N24.6	-8.58E-07	5.11E-07	-1.68156969	0.092909723
NA	-1.02E-06	8.56E-06	-0.119428849	0.904955382
NA	1.31E-06	1.07E-06	1.221355571	0.222188745
NA	4.45E-05	8.86E-05	0.502780886	0.615209604
NA	1.07E-06	8.80E-07	1.213665342	0.225111803
GCNT4	-1.69E-06	2.79E-07	-6.073350973	1.67E-09
NA	-3.81E-06	7.88E-06	-0.483685651	0.62869628
KLK8	-5.28E-08	5.93E-08	-0.89125213	0.372970671
NA	1.03E-06	1.59E-05	0.064676858	0.948441946
NA	4.05E-06	2.23E-06	1.820009679	0.069003892
NA	2.07E-06	2.36E-06	0.877323583	0.38048463
NA	2.23E-06	1.51E-05	0.147912621	0.88243631
NA	3.87E-06	4.52E-06	0.855754687	0.392302488
NA	1.21E-08	8.88E-06	0.001364948	0.998911154
IP6K3	-2.20E-07	1.41E-07	-1.560179848	0.118978233
NA	2.50E-07	2.99E-07	0.834629435	0.404090726
MTF2	2.26E-07	1.30E-07	1.734969185	0.083000262
RP11-885B4.1	-3.42E-06	2.18E-06	-1.570780446	0.11649445
NOBOX	6.62E-08	3.64E-07	0.181756963	0.855803828
RBM15B	2.82E-07	1.10E-07	2.571907056	0.010232197
PIH1D2	1.33E-06	5.20E-07	2.559219274	0.010611209
NA	4.43E-06	1.20E-05	0.368603636	0.712487506
NA	5.45E-06	4.26E-06	1.280321527	0.200676855
NA	2.86E-07	4.68E-07	0.612031654	0.540631514
RP11-95H3.1	7.78E-07	7.36E-07	1.056861587	0.290785194
NA	3.70E-05	2.39E-05	1.550372104	0.121313081
NA	-3.68E-05	7.11E-06	-5.172276377	2.70E-07
NA	1.48E-06	5.59E-07	2.65099137	0.008130105
NA	3.19E-06	2.87E-06	1.113334768	0.26578525
NA	1.05E-08	1.19E-08	0.883147029	0.377331828
OR52E1	0	1.453387714	0	1
NA	-1.91E-05	7.13E-06	-2.674639298	0.007581549
MT1A	-4.83E-08	3.24E-08	-1.493733128	0.135505451
NA	-2.57E-06	2.09E-06	-1.229399398	0.219160511
HIST2H3PS2	-1.17E-05	4.99E-05	-0.234338303	0.814761898
NA	-2.20E-07	3.18E-06	-0.06925639	0.944796953
NA	1.16E-05	9.38E-06	1.236179954	0.216630998
NA	-1.32E-05	1.38E-05	-0.961230492	0.336627855
NA	-1.71E-07	2.50E-07	-0.683093224	0.494678381
NA	5.73E-07	2.69E-07	2.131197069	0.033273507
ATP2A1	-1.29E-08	4.17E-09	-3.103515656	0.001956592
NA	-5.15E-06	1.15E-06	-4.488253291	7.86E-06
NA	5.34E-08	8.85E-08	0.603924516	0.546006753
NA	2.16E-06	2.72E-06	0.795753149	0.42633122
NA	7.18E-07	6.58E-07	1.091572199	0.275237945
NA	0	1.453387714	0	1
NA	3.65E-07	2.50E-05	0.014594111	0.988358397
NA	4.86E-06	2.17E-06	2.244473548	0.02498164
NA	-1.47E-07	1.30E-06	-0.112782093	0.910221977
NCAPG	1.15E-06	1.02E-07	11.2729549	4.22E-28
NA	7.13E-09	1.30E-08	0.548398089	0.5835195
NA	1.20E-05	2.16E-05	0.55388503	0.579759617
FANK1	9.84E-07	1.66E-07	5.927613882	4.00E-09
NOP2	3.05E-07	4.48E-08	6.814561001	1.49E-11
ZNF880	-1.55E-07	1.52E-07	-1.021573531	0.307186485
MELTF	2.85E-08	3.06E-08	0.931006833	0.352035281
NA	-5.64E-06	7.19E-05	-0.078422422	0.937504972
PTPRB	-3.16E-06	1.16E-07	-27.26925232	4.30E-128
RP11-611E13.2	1.27E-06	3.42E-07	3.716407437	0.000211282
NA	1.07E-05	2.68E-06	4.003129569	6.63E-05
NA	7.16E-06	1.40E-05	0.512079293	0.608688733
DGKD	4.41E-07	1.09E-07	4.063057245	5.15E-05
NA	-1.68E-06	8.23E-06	-0.203727899	0.838600311
TMCO1	3.57E-07	2.84E-08	12.55027723	4.67E-34
NA	-3.87E-05	7.15E-06	-5.422426591	7.09E-08
NA	8.66E-06	1.68E-05	0.516121518	0.605863607
RAB5C	1.44E-07	2.41E-08	5.980370697	2.92E-09
NPBWR2	2.62E-06	5.36E-06	0.489417361	0.624634736
UPP1	2.01E-07	1.16E-07	1.737482222	0.0825559
NA	4.97E-06	5.60E-06	0.888469238	0.374464541
NA	2.38E-06	8.54E-07	2.78665051	0.005408617
NA	2.59E-06	1.83E-06	1.420015761	0.155860048
NA	6.11E-06	1.10E-05	0.555974606	0.578330749
NA	1.68E-06	8.51E-06	0.197035142	0.843833046
NA	-2.48E-06	5.16E-07	-4.796527023	1.81E-06
NA	1.09E-05	3.55E-06	3.064113466	0.002231327
NA	7.79E-07	5.70E-06	0.136725881	0.89127016
NA	4.60E-06	2.31E-05	0.198855774	0.84240889
TRABD2B	-3.98E-06	2.47E-07	-16.09425128	5.71E-53
NA	2.75E-06	3.72E-06	0.737789947	0.460784802
NA	-1.01E-07	7.05E-07	-0.143168393	0.88618097
NA	1.46E-07	3.37E-05	0.004346311	0.996532871
NA	0	1.453387714	0	1
NA	-1.22E-05	1.22E-05	-1.006590385	0.314332407
NA	-1.62E-06	2.60E-06	-0.623748819	0.532909831
AMN	9.40E-07	1.29E-06	0.728543683	0.466421463
KCNE1B	-8.77E-05	3.38E-06	-25.95998371	1.58E-118
KLK10	1.01E-08	2.07E-08	0.486997645	0.626347987
NA	5.54E-07	4.50E-07	1.231617008	0.218330897
NA	3.34E-06	4.41E-06	0.757290633	0.449022838
NA	4.09E-06	1.44E-05	0.284244604	0.776271449
KDM5B	5.00E-07	4.53E-08	11.04378392	4.37E-27
KRTAP19-3	1.50E-05	2.13E-05	0.704509106	0.481251016
STPG1	-6.95E-07	7.34E-07	-0.947441427	0.343602593
NA	3.70E-06	1.62E-06	2.279894158	0.02278693
FHOD1	7.15E-08	9.13E-08	0.782732645	0.433936907
PTPRH	4.91E-08	4.44E-07	0.110606605	0.911946607
PCMTD1	-2.40E-08	3.51E-08	-0.683822851	0.494217643
NA	-9.87E-07	8.28E-07	-1.192199755	0.233416107
OR14A16	4.19E-06	3.68E-06	1.137991781	0.255348633
NA	4.43E-06	3.12E-06	1.422467428	0.155147698
NA	-1.08E-07	5.69E-07	-0.190131782	0.849237679
NA	1.24E-06	3.62E-07	3.41695203	0.00065424
NA	-1.88E-07	1.93E-07	-0.972117265	0.331186019
GLRA3	-1.57E-07	6.00E-08	-2.613290731	0.009078439
NA	7.49E-07	6.10E-07	1.228280321	0.219580021
NA	6.63E-10	9.37E-10	0.707726421	0.479251122
NA	1.09E-05	3.45E-06	3.142211312	0.001717374
FAM188B	-2.11E-06	1.33E-06	-1.591211691	0.111822501
MAP2K7	1.53E-07	1.22E-07	1.256477507	0.209184813
NA	4.53E-06	6.08E-06	0.745050555	0.456385488
NA	2.94E-07	3.45E-06	0.085061286	0.932226705
AC009014.3	3.06E-06	1.13E-06	2.703926808	0.006948351
RP4-800J21.3	-4.15E-06	2.50E-06	-1.657398648	0.097697488
NA	-4.90E-07	2.17E-07	-2.254824089	0.024322103
NA	5.03E-05	4.82E-05	1.044297239	0.296555956
NA	-5.56E-08	5.30E-08	-1.048725428	0.294513412
AP5S1	1.83E-06	3.30E-07	5.550255651	3.50E-08
GRIP1	8.95E-07	2.39E-07	3.739251002	0.000193178
NA	-1.32E-05	6.90E-06	-1.914672221	0.055769338
VRK3	1.59E-06	2.55E-07	6.231572374	6.36E-10
NA	1.79E-05	2.82E-05	0.635380273	0.525300271
NA	2.60E-06	5.04E-06	0.516950979	0.605284621
AC093642.6	1.54E-05	8.70E-06	1.776421223	0.075914116
SNORD99	4.46E-07	8.01E-08	5.56502172	3.22E-08
NA	-1.65E-07	9.76E-06	-0.016863557	0.986548239
NA	0.000104882	0.000254579	0.411983323	0.680424438
NA	9.70E-07	8.13E-07	1.193156977	0.233041219
NA	1.30E-05	2.25E-05	0.580907616	0.561410631
NA	6.10E-05	4.10E-05	1.489254104	0.136680412
C6orf229	4.57E-06	1.35E-05	0.338478062	0.735061534
SLC2A1	8.39E-08	1.33E-08	6.310422677	3.89E-10
RP11-576D8.2	1.64E-06	2.32E-06	0.707692729	0.479272042
NA	9.02E-06	1.97E-06	4.570752252	5.36E-06
WNT1	-1.05E-05	4.32E-06	-2.421521083	0.015601616
NA	2.87E-06	1.88E-06	1.525867746	0.127303487
MIR4635	6.07E-07	1.95E-07	3.10709482	0.001933244
NA	-2.62E-07	1.12E-07	-2.347335902	0.019068262
NA	5.21E-06	3.51E-06	1.484103508	0.138041255
NA	0.000180297	0.000113429	1.589513582	0.112205075
NA	1.22E-06	1.76E-06	0.690833831	0.489802146
MUSK	3.96E-07	2.12E-06	0.186588749	0.852014289
CDY1	-0.009116617	0.002908783	-3.134168247	0.001764759
NA	-6.21E-05	9.06E-06	-6.848271165	1.18E-11
RP11-1078H9.1	1.41E-05	1.46E-05	0.965393056	0.334540403
NA	5.12E-06	1.62E-06	3.152934352	0.001656021
NA	-3.62E-07	5.18E-06	-0.069829065	0.944341223
NA	-1.30E-06	2.35E-05	-0.055413	0.955818564
NA	1.71E-07	3.66E-07	0.467526282	0.64020737
NA	0	1.453387714	0	1
RP11-146F11.1	7.41E-07	5.42E-07	1.366345648	0.172083727
NA	3.35E-06	1.08E-06	3.1067603	0.001935415
NA	2.86E-06	5.68E-06	0.503621144	0.614619077
NA	2.47E-06	3.60E-06	0.686145354	0.492752579
SPINK1	-3.98E-07	1.34E-07	-2.974956157	0.002988295
NA	-4.15E-06	5.89E-07	-7.035061814	3.32E-12
NA	3.99E-06	1.98E-05	0.20156237	0.840292661
NA	1.49E-05	1.93E-05	0.772737016	0.439828575
VSTM2B	4.00E-06	4.56E-06	0.877370753	0.380459028
HCG27	-1.22E-06	8.11E-07	-1.509592331	0.131407905
NA	0	1.453387714	0	1
NA	1.65E-08	3.06E-08	0.539199796	0.589847951
NA	-5.60E-06	5.29E-07	-10.58361132	4.24E-25
NA	5.31E-06	7.86E-06	0.675441387	0.499524115
NA	2.66E-06	7.71E-06	0.344955471	0.73018765
SPATA31D1	2.32E-05	4.52E-05	0.512325116	0.608516759
NA	4.36E-06	2.08E-05	0.209813378	0.833848565
GLYCTK	-1.20E-06	1.58E-07	-7.561200705	7.85E-14
MASP2	-1.18E-05	9.66E-07	-12.17359423	3.00E-32
FOXD2-AS1	1.79E-06	3.40E-07	5.253383851	1.76E-07
NA	3.10E-06	3.13E-06	0.991393535	0.321691173
RPRM	2.87E-07	2.24E-07	1.283213278	0.199662472
NA	-2.28E-06	3.71E-06	-0.61420978	0.539191889
TNNT1	-5.58E-09	3.20E-09	-1.747222585	0.080851796
NA	8.97E-07	3.33E-07	2.696261141	0.007109316
NA	-6.96E-06	1.78E-06	-3.898215353	0.000102208
NA	3.11E-07	4.54E-07	0.683990053	0.494112091
NA	0	1.453387714	0	1
MT-ND1	-8.77E-10	1.02E-10	-8.602781912	2.37E-17
PPOX	9.88E-07	1.34E-07	7.375203813	3.03E-13
NA	1.47E-06	6.07E-07	2.42457928	0.015471469
NA	2.14E-06	2.01E-05	0.106178591	0.915458213
NA	-5.62E-06	2.59E-06	-2.16946816	0.030240832
DEFA1	7.14E-05	0.000223111	0.320101577	0.748946459
NA	-4.36E-05	4.83E-06	-9.028406333	6.67E-19
RP11-406A9.2	-3.67E-06	4.07E-06	-0.900537252	0.368013162
H6PD	-1.04E-06	5.94E-08	-17.46194678	4.38E-61
RCOR1	1.95E-07	8.13E-08	2.393932863	0.016819955
GRAMD1C	-3.79E-06	3.43E-07	-11.07185721	3.29E-27
RP5-1112F19.2	1.82E-06	9.42E-07	1.935327782	0.053182278
NA	2.41E-06	1.20E-06	2.002859718	0.045414541
NA	0	1.453387714	0	1
RPS6KB1	5.91E-08	4.02E-08	1.470070055	0.141802105
NA	-9.79E-06	1.25E-06	-7.799918302	1.33E-14
NA	-5.58E-06	3.50E-07	-15.94750137	4.00E-52
GLI3	-1.35E-10	5.67E-08	-0.00237405	0.998106174
MIR378D1	4.98E-06	5.44E-06	0.914557277	0.360605853
NA	8.92E-07	8.97E-07	0.994711918	0.320074779
NA	-1.27E-05	0.000331354	-0.038246973	0.969497062
