#	Gene	BLCA Freq	BRCA Freq	COADREAD Freq	GBM Freq	HNSC Freq	KIRC Freq	LAML Freq	LUAD Freq	LUSC Freq	OV Freq	UCEC Freq	Pancan12 Freq	pancan12 p-val	pancan12 FDR
34	RUNX1	1.00%	3.30%	1.00%	0.00%	0.70%	0.00%	9.00%	0.40%	0.00%	0.00%	1.30%	1.60%	0	0
35	NRAS	2.00%	0.10%	8.80%	0.30%	0.00%	0.00%	7.50%	1.80%	0.60%	0.60%	2.60%	1.50%	0	0
36	IDH1	3.10%	0.30%	0.00%	5.20%	0.30%	0.50%	9.50%	0.90%	1.20%	0.00%	0.90%	1.50%	0	0
37	TBX3	3.10%	2.40%	1.00%	0.00%	0.70%	0.00%	0.00%	4.40%	2.90%	1.00%	1.30%	1.40%	0	0
38	MAP2K4	0.00%	4.10%	2.60%	0.00%	0.30%	0.00%	0.00%	1.30%	0.60%	0.30%	1.30%	1.40%	0	0
39	RPL22	0.00%	0.00%	0.00%	0.30%	0.70%	0.50%	0.00%	0.40%	0.00%	0.00%	10.90%	1.00%	0	0
40	STK11	0.00%	0.30%	0.00%	0.00%	0.30%	0.20%	0.00%	8.80%	1.70%	0.00%	0.40%	0.90%	0	0
41	CRIPAK	2.00%	0.30%	0.00%	0.30%	1.00%	0.50%	0.00%	5.30%	0.00%	0.00%	0.40%	0.70%	0	0
42	CEBPA	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	6.50%	0.00%	0.60%	0.00%	0.00%	0.50%	0	0
43	KDM6A	26.50%	1.10%	0.00%	1.00%	2.70%	1.00%	1.50%	0.90%	4.00%	0.00%	0.90%	2.00%	4.72E-19	4.50E-17
44	EPHA3	1.00%	0.50%	3.10%	1.00%	3.70%	0.50%	0.50%	8.80%	6.30%	1.00%	2.20%	2.10%	5.75E-18	5.19E-16
45	AKT1	0.00%	2.50%	0.00%	0.30%	0.70%	0.50%	0.00%	0.00%	0.60%	0.00%	1.30%	0.90%	3.05E-17	2.67E-15
46	STAG2	10.20%	0.90%	1.00%	4.10%	0.70%	1.70%	3.00%	2.60%	3.50%	1.00%	3.90%	2.20%	1.20E-15	9.03E-14
47	BRAF	2.00%	0.40%	3.60%	2.10%	1.00%	0.20%	0.00%	6.60%	4.60%	0.60%	0.90%	1.50%	1.58E-15	1.18E-13
48	AR	1.00%	0.70%	2.10%	0.00%	2.30%	0.50%	0.00%	1.80%	3.50%	0.30%	3.50%	1.20%	2.88E-15	2.09E-13
49	AJUBA	2.00%	0.10%	0.00%	0.30%	6.00%	0.50%	0.00%	0.90%	0.00%	0.00%	0.00%	0.80%	2.39E-14	1.57E-12
50	EPPK1	2.00%	0.30%	0.00%	2.80%	2.70%	0.70%	0.00%	3.10%	4.00%	0.30%	3.00%	1.40%	3.15E-14	2.03E-12
51	TSHZ2	4.10%	0.90%	3.10%	2.40%	1.30%	0.70%	0.00%	6.60%	3.50%	1.00%	1.70%	1.80%	4.31E-14	2.77E-12
52	PIK3CG	2.00%	0.40%	0.50%	2.40%	2.70%	0.70%	0.00%	5.30%	7.50%	1.00%	1.30%	1.70%	5.29E-14	3.36E-12
53	SOX9	0.00%	0.10%	4.20%	1.00%	0.70%	0.70%	0.00%	1.30%	0.60%	0.00%	0.40%	0.70%	9.49E-14	5.84E-12
54	ATM	11.20%	2.10%	5.70%	1.40%	2.70%	2.90%	0.00%	7.90%	4.00%	1.30%	6.50%	3.30%	1.97E-13	1.18E-11
55	CDKN1B	2.00%	0.90%	1.00%	0.30%	0.70%	0.00%	0.00%	1.80%	0.00%	0.30%	0.90%	0.70%	4.06E-13	2.31E-11
56	WT1	0.00%	0.10%	1.00%	0.70%	0.00%	0.70%	6.00%	3.50%	2.30%	0.00%	0.40%	1.00%	5.00E-13	2.83E-11
57	HGF	1.00%	0.50%	0.00%	0.30%	2.70%	0.20%	0.00%	10.50%	5.80%	0.60%	1.30%	1.70%	7.02E-13	3.89E-11
58	KDM5C	1.00%	0.50%	0.50%	0.70%	1.00%	6.50%	0.00%	4.80%	2.90%	1.90%	2.20%	2.00%	8.11E-13	4.44E-11
59	PRX	5.10%	0.50%	0.50%	0.70%	1.70%	1.20%	0.50%	0.40%	1.20%	0.30%	1.30%	0.90%	1.58E-12	8.17E-11
60	ERBB4	2.00%	0.80%	3.60%	0.30%	4.30%	1.40%	0.00%	7.50%	5.20%	0.00%	2.60%	2.10%	2.45E-12	1.25E-10
61	MTOR	2.00%	1.40%	3.60%	1.40%	1.30%	6.00%	0.00%	7.50%	4.60%	1.90%	5.20%	3.00%	2.79E-12	1.41E-10
62	TLR4	2.00%	1.20%	0.00%	0.30%	2.00%	0.50%	0.50%	11.40%	5.80%	1.00%	0.40%	1.90%	2.06E-11	9.56E-10
63	U2AF1	1.00%	0.30%	0.50%	0.00%	1.30%	0.00%	4.00%	2.60%	0.00%	0.00%	0.90%	0.80%	2.52E-11	1.16E-09
64	ARID5B	3.10%	0.40%	0.00%	0.30%	3.30%	0.70%	0.00%	2.20%	1.70%	0.60%	9.60%	1.60%	4.00E-11	1.78E-09
65	TET2	3.10%	0.40%	0.00%	0.70%	0.30%	1.90%	8.50%	3.10%	2.30%	0.00%	2.20%	1.60%	4.41E-11	1.96E-09
66	ATRX	8.20%	1.20%	1.00%	5.50%	4.30%	1.90%	0.00%	6.10%	5.80%	0.60%	3.00%	2.80%	4.73E-11	2.09E-09
67	MLL4	7.10%	0.70%	2.10%	2.10%	2.70%	1.00%	0.00%	1.80%	4.00%	0.30%	8.30%	2.00%	6.17E-11	2.69E-09
68	ELF3	8.20%	0.10%	3.60%	0.00%	0.30%	0.00%	0.00%	0.40%	0.00%	0.30%	0.40%	0.60%	1.04E-10	4.45E-09
69	BRCA1	4.10%	1.60%	0.00%	1.00%	2.70%	1.00%	0.00%	3.50%	5.20%	3.50%	0.90%	1.90%	3.97E-10	1.57E-08
70	LRRK2	5.10%	0.70%	2.60%	1.00%	5.00%	1.40%	0.00%	6.60%	11.50%	2.90%	3.50%	2.80%	4.21E-10	1.65E-08
71	POLQ	7.10%	0.80%	0.50%	1.00%	4.30%	1.20%	0.00%	5.70%	9.20%	1.00%	3.90%	2.40%	4.71E-10	1.82E-08
72	FOXA1	4.10%	1.70%	0.00%	1.00%	0.70%	0.00%	0.00%	0.40%	0.60%	0.00%	0.00%	0.80%	4.80E-10	1.85E-08
73	IDH2	0.00%	0.00%	1.60%	0.00%	0.00%	0.00%	10.00%	0.40%	0.00%	0.00%	0.40%	0.80%	7.74E-10	2.88E-08
74	CHEK2	2.00%	0.40%	0.00%	1.70%	2.30%	0.70%	0.00%	0.90%	1.20%	0.30%	1.30%	0.90%	8.23E-10	3.03E-08
75	KIT	1.00%	0.50%	1.00%	1.00%	1.00%	0.70%	4.00%	1.80%	3.50%	1.90%	2.20%	1.40%	1.47E-09	5.23E-08
76	HIST1H1C	1.00%	0.40%	1.00%	0.70%	1.30%	0.20%	0.00%	0.40%	0.60%	1.30%	0.00%	0.60%	1.82E-09	6.41E-08
77	SETD2	6.10%	1.20%	2.60%	1.70%	2.30%	11.50%	0.50%	7.90%	2.90%	1.90%	2.60%	3.60%	2.00E-09	6.99E-08
78	PDGFRA	6.10%	0.40%	1.00%	3.80%	1.00%	1.40%	0.50%	6.60%	4.00%	1.00%	1.30%	1.90%	2.13E-09	7.39E-08
79	EP300	17.40%	0.80%	2.10%	0.30%	8.00%	1.40%	0.00%	0.90%	4.60%	0.30%	5.20%	2.50%	2.92E-09	9.94E-08
80	FGFR2	2.00%	0.90%	0.00%	0.30%	0.70%	0.20%	0.00%	3.10%	2.30%	0.00%	10.40%	1.50%	3.85E-09	1.30E-07
81	CCND1	2.00%	0.10%	0.00%	0.00%	0.30%	0.00%	0.00%	0.90%	0.60%	0.00%	5.20%	0.60%	4.49E-09	1.49E-07
82	EPHB6	3.10%	0.40%	0.00%	1.40%	1.30%	1.20%	0.00%	9.70%	3.50%	0.30%	1.70%	1.60%	6.36E-09	2.07E-07
83	SMAD4	2.00%	0.40%	9.80%	0.30%	2.00%	0.50%	0.00%	3.10%	2.90%	0.00%	0.00%	1.40%	7.48E-09	2.41E-07
84	FOXA2	1.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	4.80%	0.50%	9.18E-09	2.92E-07
85	USP9X	3.10%	1.20%	0.00%	0.70%	4.30%	1.00%	0.50%	5.30%	4.60%	0.30%	6.50%	2.10%	9.19E-09	2.92E-07
86	BRCA2	6.10%	1.70%	1.60%	1.40%	3.70%	1.90%	0.00%	5.70%	5.80%	3.20%	4.40%	2.70%	9.48E-09	3.00E-07
87	NFE2L3	3.10%	0.80%	0.00%	0.30%	1.30%	0.20%	0.00%	0.00%	2.30%	0.30%	1.70%	0.80%	1.09E-08	3.42E-07
88	FGFR3	8.20%	0.10%	0.50%	1.40%	1.70%	1.40%	0.00%	0.40%	2.30%	0.30%	0.40%	1.00%	1.21E-08	3.77E-07
89	ASXL1	3.10%	0.40%	1.60%	0.00%	3.00%	1.00%	2.50%	1.30%	5.20%	0.00%	0.90%	1.30%	1.69E-08	5.15E-07
90	TGFBR2	3.10%	0.40%	2.60%	0.70%	3.00%	0.20%	0.00%	0.90%	1.70%	1.00%	1.30%	1.10%	1.91E-08	5.75E-07
91	SOX17	0.00%	0.00%	0.50%	0.30%	0.30%	0.00%	0.00%	0.40%	0.00%	0.00%	3.00%	0.30%	2.08E-08	6.23E-07
92	CDKN1A	12.20%	0.00%	0.00%	0.30%	0.00%	0.20%	0.00%	0.40%	1.20%	0.30%	0.00%	0.60%	2.10E-08	6.27E-07
93	B4GALT3	0.00%	0.10%	0.50%	0.00%	0.00%	0.20%	0.00%	0.00%	1.20%	0.00%	0.90%	0.20%	4.53E-08	1.29E-06
94	SF3B1	4.10%	1.80%	1.00%	0.70%	0.70%	1.00%	0.50%	2.20%	2.30%	0.00%	2.20%	1.30%	1.14E-07	3.03E-06
95	TAF1	2.00%	1.10%	1.60%	1.40%	2.30%	1.20%	0.00%	4.00%	6.90%	1.60%	8.70%	2.30%	1.53E-07	3.99E-06
96	PPP2R1A	1.00%	0.10%	1.60%	0.00%	1.30%	1.20%	0.00%	1.30%	4.60%	1.30%	8.70%	1.50%	2.30E-07	5.80E-06
97	CBFB	1.00%	2.10%	0.00%	0.00%	0.00%	0.20%	1.00%	0.40%	0.60%	0.00%	0.40%	0.70%	2.68E-07	6.68E-06
98	ATR	4.10%	0.80%	2.10%	1.40%	5.30%	1.20%	0.00%	5.70%	4.00%	0.60%	7.00%	2.40%	2.72E-07	6.76E-06
99	SIN3A	1.00%	0.50%	0.50%	0.70%	0.70%	0.50%	0.00%	1.80%	2.90%	0.60%	5.20%	1.10%	3.87E-07	9.32E-06
100	VEZF1	2.00%	0.90%	0.00%	0.70%	0.70%	0.00%	0.00%	0.90%	1.70%	0.00%	0.00%	0.60%	4.48E-07	1.07E-05
101	HIST1H2BD	1.00%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.00%	1.20%	0.30%	2.60%	0.40%	4.62E-07	1.10E-05
102	EIF4A2	2.00%	0.50%	2.60%	0.00%	0.00%	0.70%	0.00%	1.80%	1.20%	0.60%	1.30%	0.80%	5.94E-07	1.38E-05
103	CDK12	4.10%	0.90%	1.60%	0.30%	1.70%	1.40%	0.00%	3.10%	0.60%	2.90%	2.20%	1.50%	6.94E-07	1.59E-05
104	PHF6	3.10%	0.40%	0.00%	0.30%	0.30%	0.50%	3.00%	0.90%	1.20%	0.30%	1.30%	0.80%	1.84E-06	3.88E-05
105	SMC1A	3.10%	0.80%	1.60%	1.70%	1.00%	0.50%	3.50%	1.30%	0.60%	1.30%	4.40%	1.50%	4.34E-06	8.28E-05
106	PTPN11	0.00%	0.10%	1.00%	1.70%	0.30%	0.20%	4.50%	2.60%	1.70%	0.30%	0.90%	1.00%	8.42E-06	0.0001498
107	ACVR1B	0.00%	0.70%	3.60%	0.00%	1.30%	1.00%	0.00%	2.20%	1.20%	0.30%	1.70%	1.00%	1.59E-05	0.0002647
108	MAPK8IP1	2.00%	0.30%	2.10%	0.70%	0.70%	0.50%	0.00%	1.80%	1.20%	0.30%	0.40%	0.70%	2.14E-05	0.0003435
109	H3F3C	0.00%	0.00%	0.00%	0.70%	0.70%	0.00%	0.00%	1.80%	1.20%	0.00%	0.90%	0.40%	2.68E-05	0.0004155
110	NSD1	6.10%	0.30%	0.50%	0.30%	10.60%	1.00%	0.00%	3.10%	5.20%	0.60%	5.70%	2.40%	2.68E-05	0.0004156
111	TBL1XR1	2.00%	1.10%	0.00%	0.00%	1.00%	0.70%	0.00%	2.20%	1.20%	0.30%	1.30%	0.80%	3.31E-05	0.0004998
112	EGR3	1.00%	0.30%	0.00%	0.30%	0.00%	0.20%	0.00%	0.40%	1.20%	0.00%	0.40%	0.30%	5.27E-05	0.000748
113	ACVR2A	1.00%	0.50%	2.60%	0.00%	0.70%	0.20%	0.00%	0.90%	1.20%	0.00%	0.40%	0.60%	8.71E-05	0.0011713
114	MECOM	5.10%	0.50%	1.00%	1.40%	1.70%	1.00%	0.00%	3.50%	4.60%	0.60%	3.00%	1.50%	0.0001299	0.0016523
115	LIFR	1.00%	0.80%	5.20%	0.00%	2.70%	0.50%	0.00%	0.90%	1.70%	0.60%	1.70%	1.20%	0.0001373	0.0017253
116	SMC3	1.00%	0.40%	0.00%	1.40%	1.70%	1.20%	3.50%	2.60%	2.30%	0.30%	0.40%	1.20%	0.0002339	0.0027024
117	NCOR1	8.20%	3.90%	0.50%	0.70%	3.30%	0.70%	0.00%	2.60%	3.50%	0.30%	1.30%	2.20%	0.0003569	0.0038413
118	RPL5	0.00%	0.40%	0.00%	2.80%	0.00%	1.40%	0.00%	0.40%	1.20%	0.00%	0.90%	0.70%	0.000483	0.0049282
119	SMAD2	1.00%	0.50%	5.70%	0.00%	1.00%	0.50%	0.00%	0.90%	1.20%	0.00%	1.30%	0.90%	0.000792	0.0073928
120	SPOP	1.00%	0.10%	0.00%	0.00%	1.00%	0.00%	0.00%	0.40%	0.60%	0.30%	6.50%	0.70%	0.0014916	0.0122957
121	AXIN2	3.10%	0.10%	3.60%	0.30%	1.70%	0.20%	0.00%	0.90%	0.60%	0.30%	2.60%	0.90%	0.0018276	0.0145051
122	MIR142	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.0034104	0.0240224
123	RAD21	2.00%	0.50%	1.00%	0.30%	1.00%	0.00%	2.50%	2.60%	1.20%	0.30%	0.90%	0.90%	0.0040289	0.0273992
124	ERCC2	12.20%	0.10%	0.50%	0.00%	0.30%	0.20%	0.00%	1.30%	0.00%	0.30%	0.40%	0.70%	0.0064657	0.0400346
125	CDKN2C	0.00%	0.00%	0.00%	1.00%	0.00%	0.20%	0.00%	0.00%	0.60%	0.60%	0.00%	0.20%	0.0073241	0.0440706
126	EZH2	1.00%	0.10%	0.00%	1.00%	0.30%	0.70%	1.50%	2.20%	2.30%	0.00%	1.70%	0.80%	0.0089297	0.0513727
127	PCBP1	1.00%	0.00%	2.60%	0.00%	0.00%	0.20%	0.00%	0.40%	0.00%	0.00%	0.90%	0.30%	0.0110093	0.0604794
