GeneSymbol	log(2,FC)	P-value
MXRA5	-1.43	2.83E-04
RP11-346D6.6	1.01	3.48E-02
CREB5	-1.16	1.22E-04
RP11-248C1.3	-1.57	1.04E-06
ITGB3	-1.17	8.20E-06
RP3-428L16.2	-1.03	1.51E-06
RP11-97N19.2	-1.44	2.66E-04
RP11-624G17.3	-1.8	3.08E-07
LIMK2	-1.06	2.69E-04
TSTD2	-1.04	1.53E-04
DLX4	-1.81	3.95E-10
CTB-39G8.3	-1.31	4.15E-05
VIT	-1.44	2.10E-08
AC011484.1	-1.32	4.21E-06
TMEM200B	-1.08	1.08E-06
RP11-703I16.1	-1.03	1.86E-06
CTD-2330J20.2	-1.57	4.84E-05
RP4-647C14.2	-1.92	3.11E-07
RP4-718D20.3	-2.26	5.31E-13
RP11-260E18.1	-1.23	1.98E-04
RP11-299G20.2	-1.48	4.12E-04
CPB1	-1.78	8.92E-06
AC092642.1	-1.76	1.00E-05
RP4-647C14.3	-1.93	3.73E-11
RP11-575A19.2	-1.61	4.37E-06
AKR1C3	-1.37	1.81E-05
SMOC2	-1.59	7.97E-06
RP11-782C8.2	-1.11	4.70E-04
SIX3	-1.57	1.50E-04
PPP5C	-1.18	3.60E-04
CTA-134P22.2	-1.62	8.77E-05
SYTL2	-1.37	1.01E-04
TBPL1	-1.58	1.23E-06
GRTP1-AS1	-1.44	3.89E-04
RP5-1027G4.3	-1.49	3.89E-04
CTD-2562J17.7	-1.46	1.71E-07
RP11-290H9.4	-1.54	2.66E-07
TRNP1	-1.37	4.74E-04
RP11-234K24.3	-1.48	1.32E-07
FGF10	-2.96	3.64E-25
MTUS1	-1.5	2.66E-04
RP11-146G7.2	-1.35	6.39E-07
CTSK	-1.26	1.81E-04
TRPT1	-1.27	3.11E-07
RN7SKP275	1.02	3.26E-02
MAP3K4	-1.35	6.16E-07
CFI	-1.55	6.16E-07
SAT1	-1.23	5.08E-04
RP11-470B22.1	-1.88	1.74E-06
RP11-737F9.1	-2.46	3.31E-12
CCDC152	-1.31	1.14E-04
CCDC41	-2.04	3.04E-09
DMKN	-1.17	3.93E-04
CTD-2562J17.9	-1.46	3.68E-08
SYNPO2	-1.2	3.32E-04
RP11-532M24.1	-1.31	4.24E-04
CTD-2206N4.4	-1.5	3.54E-05
HPS3	-1.54	2.77E-05
IGSF22	-1.4	5.54E-06
RP11-304F15.5	-1.35	2.03E-04
CTD-2325A15.5	-1.33	8.32E-05
ADAMTSL1	-1.64	9.86E-09
ZIC1	-1.42	3.27E-05
F2RL2	1	3.63E-02
RP11-680F20.6	-1.19	6.07E-05
RPL17P49	1.03	3.05E-02
RSPO3	-1.17	1.81E-04
CGNL1	-1.72	1.91E-06
ITGB8	-1.11	3.34E-04
MOXD1	1.04	2.78E-02
AC004540.4	-1.84	6.79E-12
RP4-777D9.2	-1.07	3.89E-04
ARHGAP20	-1.25	4.01E-04
CTD-2515H24.4	-2.05	5.84E-13
RP11-473L15.3	-2.22	5.05E-09
KYNU	-1.51	2.78E-04
NDNF	-1.58	1.39E-04
GOLGA7B	-1.57	1.73E-04
GPR88	-1.78	4.68E-06
AC106786.1	-1.61	9.24E-06
PDGFRL	-1.81	1.29E-08
RAB27B	-1.27	2.47E-04
MIR3689E	1.03	3.02E-02
CTD-2313F11.1	1.04	2.94E-02
CDH23	-1.26	2.28E-05
ANGPTL2	-1.19	3.21E-04
RP11-473L15.2	-3.17	3.55E-36
RP11-778H2.1	-1.88	6.48E-07
SNX10	-2.16	1.52E-10
AC016292.1	-1.16	1.03E-02
ABCA8	-1.17	2.41E-03
SH2D5	-1.1	1.74E-02
SMUG1	-1.03	3.01E-02
ACYP1	-1.11	8.32E-03
MORN4	-1.13	9.81E-04
AC074366.3	-1.05	1.15E-02
LL22NC03-32F9.1	-1.07	1.80E-02
FBXL8	-1.07	3.40E-03
RP11-13P5.2	-1.06	2.04E-02
LPIN2	-1.03	8.29E-04
VCAM1	-1.13	8.31E-03
TPRG1-AS2	-1.08	9.52E-03
RP11-839G9.1	-1.22	3.12E-03
AC013444.1	-1.41	9.49E-04
AC008964.1	-1.42	5.42E-04
CTD-2540B15.7	-1.09	1.70E-02
HCG4P7	-1.17	9.40E-03
SLC2A5	-1.15	5.60E-03
CYP27A1	-1.18	9.18E-03
SLC4A4	-1.21	1.09E-03
LINC00896	-1.05	5.32E-03
AKR1C2	-1.03	5.38E-04
RP11-521C20.3	-1.08	7.71E-04
AL121895.1	-1.02	2.17E-02
KCNJ15	-1.1	8.03E-04
CCRL2	-1.08	1.04E-02
AC007182.6	-1.08	4.40E-03
CYP11A1	-1.11	6.66E-03
MCF2L	-1.04	4.98E-03
GPR157	-1.09	1.82E-02
PPP1R1C	-1.01	2.95E-03
LRP1B	-1.09	1.83E-02
RTTN	-1.15	1.15E-02
RPL5P11	-1.06	1.07E-03
HRK	-1.19	7.86E-03
SUMF2	-1.09	1.76E-03
WDR91	-1.14	5.64E-03
RP11-332K15.1	-1.24	4.43E-03
RP11-344F13.1	-1.24	5.53E-03
RP11-53O19.2	-1.15	8.13E-03
CTD-2521M24.6	-1.07	3.08E-03
STON2	-1.4	9.78E-04
RP11-647P12.1	-1.02	1.43E-02
SCG2	-1	2.69E-02
PIEZO2	-1.02	7.23E-03
MIR920	-1.18	7.69E-03
GPRASP1	-1.17	1.01E-03
CLIC2	-1.14	5.71E-03
RP11-720L2.4	-1.13	7.69E-03
MTUS2-AS1	-1.22	5.97E-03
GALNT15	-1.02	3.30E-02
MED16	-1.04	1.10E-02
PLEKHF2	-1.05	2.43E-02
RP11-856M7.1	-1.15	8.66E-03
RP11-18B3.3	-1.13	9.01E-03
MLPH	-1.1	4.53E-03
KDM6A	-1.01	2.47E-02
AC005392.13	-1.05	2.44E-02
PSCA	-1.11	2.73E-03
PRKAG3	-1.13	2.79E-03
RP11-849F2.8	-1.01	3.40E-02
EPB41L4A-AS2	-1.31	2.71E-03
CTB-13F3.1	-1.02	9.13E-04
CLCA2	-1.09	1.81E-02
MIR378H	-1.16	4.05E-03
RP11-856M7.2	-1	1.26E-02
DSCR8	-1.27	2.99E-03
PGR	-1.26	7.42E-04
ACSS1	-1.28	3.52E-03
NDUFB9	-1.1	3.80E-03
AL390240.1	-1.01	3.52E-02
FAM216B	-1.18	5.40E-03
AC073626.2	-1.32	9.78E-04
AC079210.1	-1.09	9.69E-03
RP3-512E2.2	-1.16	1.18E-03
TPRG1	-1	2.58E-02
GRIA1	-1.24	2.15E-03
CTD-2540B15.11	-1.02	2.21E-02
RP13-228J13.8	-1.04	2.92E-02
RP11-253D19.1	-1.19	7.76E-03
CTD-2062F14.3	-1.09	7.76E-03
RP11-782C8.5	-1.06	5.79E-03
RP11-1020M18.10	-1.1	1.72E-02
AC009492.1	-1.18	8.61E-03
ACOXL	-1.37	1.35E-03
CCDC13-AS1	-1.03	7.76E-03
CLDN4	-1.12	8.29E-04
RP11-782C8.6	-1.19	8.39E-03
TYR	-1.43	6.19E-04
RP11-217B7.2	-1.06	1.36E-02
ARHGEF3-AS1	-1.16	5.53E-03
RNFT2	-1.06	2.40E-02
PALMD	-1.01	5.43E-04
EPB41L1	-1.1	9.87E-04
A2M-AS1	-1.06	2.53E-02
RP11-20G13.3	-1.04	2.69E-02
BCL2L11	-1.15	9.78E-04
IL12A	-1.21	1.23E-03
ALDH1A2	-1.03	1.97E-02
CTD-2270N23.1	-1.01	1.07E-02
CFTR	-1.12	1.21E-02
MACC1	-1.19	5.78E-03
ABCB5	-1.19	7.40E-03
MINK1	-1.26	1.55E-03
LZTS1-AS1	-1.09	1.80E-02
ATP8B4	-1.35	5.89E-04
RP11-157F20.3	-1.04	5.75E-04
STEAP4	-1.14	7.74E-03
POLR2E	-1.07	2.21E-02
RP4-704D23.1	-1.4	8.98E-04
FRAS1	-1.26	4.26E-03
CACNA2D3-AS1	-1.15	1.03E-03
