Category+A1:M65	Term	Count	%	PValue	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	domain:Ig-like C2-type 1	78	7.580174927	2.58E-47	7.632609862	6.55E-44	1.09E-44	4.56E-44
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	52	5.053449951	2.71E-47	12.51105412	1.03E-43	2.05E-44	5.00E-44
UP_SEQ_FEATURE	domain:Ig-like C2-type 2	78	7.580174927	3.96E-47	7.595010799	1.01E-43	1.44E-44	7.00E-44
UP_SEQ_FEATURE	transmembrane region	461	44.80077745	1.01E-46	1.802285925	2.56E-43	3.20E-44	1.78E-43
UP_KEYWORDS	Chemotaxis	56	5.442176871	2.27E-46	11.69469925	8.70E-44	8.70E-45	3.15E-43
UP_KEYWORDS	Transmembrane	485	47.13313897	2.55E-45	1.738558049	9.76E-43	8.88E-44	3.53E-42
KEGG_PATHWAY	hsa05140:Leishmaniasis	58	5.63654033	3.10E-45	8.276089527	6.87E-43	1.15E-43	3.95E-42
UP_KEYWORDS	Inflammatory response	66	6.413994169	1.83E-44	8.795754766	7.00E-42	5.83E-43	2.53E-41
INTERPRO	IPR003599:Immunoglobulin subtype	118	11.46744412	6.53E-44	4.410772946	7.91E-41	2.64E-41	1.06E-40
GOTERM_BP_DIRECT	GO:0019221~cytokine-mediated signaling pathway	65	6.316812439	7.02E-44	8.476000404	2.66E-40	4.43E-41	1.30E-40
UP_KEYWORDS	Transmembrane helix	480	46.64723032	1.05E-43	1.725826604	4.04E-41	3.10E-42	1.46E-40
KEGG_PATHWAY	hsa04145:Phagosome	82	7.968901846	3.34E-43	5.53832106	7.42E-41	1.06E-41	4.26E-40
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	40	3.887269193	2.93E-40	14.61337027	2.70E-37	1.35E-37	4.59E-37
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	74	7.191448008	3.25E-40	5.722897391	7.21E-38	9.01E-39	4.14E-37
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	65	6.316812439	8.89E-40	7.502405763	3.37E-36	4.81E-37	1.64E-36
GOTERM_BP_DIRECT	GO:0007165~signal transduction	188	18.27016521	2.15E-39	2.766142423	8.14E-36	1.02E-36	3.97E-36
KEGG_PATHWAY	hsa04630:Jak-STAT signaling pathway	77	7.482993197	2.57E-39	5.379950231	5.71E-37	6.35E-38	3.28E-36
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	86	8.357628766	3.27E-39	5.361629453	1.24E-35	1.38E-36	6.04E-36
GOTERM_BP_DIRECT	GO:0050776~regulation of immune response	70	6.802721088	4.54E-39	6.717798073	1.72E-35	1.72E-36	8.39E-36
KEGG_PATHWAY	hsa05150:Staphylococcus aureus infection	47	4.567541302	5.99E-39	8.817787596	1.33E-36	1.33E-37	7.64E-36
UP_KEYWORDS	Adaptive immunity	64	6.219630709	6.53E-38	7.450810028	2.50E-35	1.79E-36	9.05E-35
INTERPRO	IPR001811:Chemokine interleukin-8-like domain	37	3.595724004	2.61E-37	14.94283414	3.16E-34	7.89E-35	4.22E-34
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	65	6.316812439	1.64E-36	6.770463737	6.21E-33	5.64E-34	3.02E-33
SMART	SM00409:IG	118	11.46744412	6.67E-36	3.553242071	1.60E-33	1.60E-33	8.61E-33
GOTERM_MF_DIRECT	GO:0004872~receptor activity	72	6.997084548	7.08E-36	5.939627916	6.51E-33	2.17E-33	1.11E-32
KEGG_PATHWAY	hsa04672:Intestinal immune network for IgA production	42	4.081632653	1.08E-35	9.053301163	2.40E-33	2.18E-34	1.38E-32
UP_KEYWORDS	Membrane	559	54.32458698	2.42E-35	1.511022335	9.26E-33	6.17E-34	3.35E-32
UP_KEYWORDS	Cell membrane	308	29.93197279	9.42E-35	1.96507781	3.61E-32	2.25E-33	1.30E-31
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	53	5.150631681	5.11E-33	7.672603755	1.94E-29	1.61E-30	9.44E-30
INTERPRO	IPR013151:Immunoglobulin	44	4.275996113	5.32E-33	9.968456261	6.43E-30	1.29E-30	8.61E-30
GOTERM_BP_DIRECT	GO:0042102~positive regulation of T cell proliferation	39	3.790087464	2.79E-32	11.10356053	1.06E-28	8.14E-30	5.16E-29
UP_KEYWORDS	Complement pathway	28	2.721088435	9.53E-32	18.29654559	3.65E-29	2.15E-30	1.32E-28
SMART	SM00199:SCY	34	3.304178814	7.46E-31	11.83340255	1.79E-28	8.95E-29	9.63E-28
UP_SEQ_FEATURE	domain:Ig-like C2-type 3	50	4.859086492	1.39E-30	7.721290025	3.53E-27	3.92E-28	2.46E-27
GOTERM_MF_DIRECT	GO:0004896~cytokine receptor activity	30	2.915451895	1.68E-30	14.91781548	1.55E-27	3.87E-28	2.63E-27
UP_KEYWORDS	Host-virus interaction	82	7.968901846	1.96E-29	4.314454443	7.51E-27	4.17E-28	2.72E-26
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	40	3.887269193	4.12E-29	9.360219624	1.56E-25	1.12E-26	7.61E-26
KEGG_PATHWAY	hsa05340:Primary immunodeficiency	32	3.109815355	1.51E-28	9.535129516	3.36E-26	2.80E-27	1.93E-25
KEGG_PATHWAY	hsa05162:Measles	63	6.12244898	1.94E-28	4.798930315	4.31E-26	3.32E-27	2.48E-25
KEGG_PATHWAY	hsa05145:Toxoplasmosis	57	5.539358601	2.92E-28	5.249738921	6.48E-26	4.63E-27	3.72E-25
KEGG_PATHWAY	hsa05133:Pertussis	47	4.567541302	3.80E-28	6.348807069	8.44E-26	5.63E-27	4.85E-25
KEGG_PATHWAY	hsa05168:Herpes simplex infection	74	7.191448008	5.09E-28	4.096718897	1.13E-25	7.07E-27	6.49E-25
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	50	4.859086492	1.65E-27	5.82245696	3.65E-25	2.15E-26	2.10E-24
UP_SEQ_FEATURE	domain:Ig-like V-type	47	4.567541302	3.23E-27	7.201748959	8.20E-24	8.20E-25	5.71E-24
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	57	5.539358601	6.29E-27	5.563981979	2.38E-23	1.59E-24	1.16E-23
GOTERM_BP_DIRECT	GO:0050900~leukocyte migration	48	4.664723032	8.00E-27	6.720944582	3.03E-23	1.90E-24	1.48E-23
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	72	6.997084548	6.98E-26	3.921706494	1.55E-23	8.61E-25	8.90E-23
GOTERM_BP_DIRECT	GO:0031295~T cell costimulation	38	3.692905734	2.85E-25	8.322195268	1.08E-21	6.35E-23	5.26E-22
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	66	6.413994169	6.44E-25	4.43873407	2.44E-21	1.36E-22	1.19E-21
KEGG_PATHWAY	hsa05142:Chagas disease (American trypanosomiasis)	52	5.053449951	7.71E-25	5.065537555	1.71E-22	9.01E-24	9.83E-22
KEGG_PATHWAY	hsa05310:Asthma	28	2.721088435	1.27E-24	9.455670103	2.81E-22	1.41E-23	1.62E-21
KEGG_PATHWAY	hsa05330:Allograft rejection	31	3.012633625	1.85E-24	8.488198066	4.10E-22	1.95E-23	2.35E-21
KEGG_PATHWAY	hsa04612:Antigen processing and presentation	44	4.275996113	2.24E-24	5.865359274	4.97E-22	2.26E-23	2.86E-21
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	52	5.053449951	2.38E-24	4.969961375	5.28E-22	2.30E-23	3.03E-21
GOTERM_MF_DIRECT	GO:0005164~tumor necrosis factor receptor binding	24	2.332361516	3.91E-24	14.814934	3.60E-21	7.20E-22	6.12E-21
KEGG_PATHWAY	hsa04514:Cell adhesion molecules (CAMs)	60	5.83090379	7.06E-24	4.280735962	1.57E-21	6.53E-23	9.00E-21
KEGG_PATHWAY	hsa05144:Malaria	35	3.401360544	1.02E-23	7.236482222	2.27E-21	9.07E-23	1.30E-20
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	34	3.304178814	1.29E-23	8.800024662	4.90E-20	2.58E-21	2.39E-20
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	428	41.59378037	1.75E-23	1.501714486	8.43E-21	1.20E-21	2.51E-20
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	43	4.178814383	2.17E-23	6.500382611	8.23E-20	4.12E-21	4.01E-20
UP_SEQ_FEATURE	short sequence motif:WSXWS motif	23	2.235179786	2.66E-23	15.67688126	6.74E-20	6.13E-21	4.70E-20
GOTERM_BP_DIRECT	GO:0090383~phagosome acidification	23	2.235179786	3.60E-23	14.55167477	1.36E-19	6.50E-21	6.65E-20
INTERPRO	IPR008983:Tumour necrosis factor-like domain	30	2.915451895	9.17E-23	10.13322413	1.11E-19	1.85E-20	1.48E-19
INTERPRO	IPR003598:Immunoglobulin subtype 2	60	5.83090379	1.38E-22	4.458618619	1.68E-19	2.39E-20	2.24E-19
GOTERM_BP_DIRECT	GO:0006968~cellular defense response	32	3.109815355	2.90E-22	8.816723001	1.10E-18	5.00E-20	5.36E-19
KEGG_PATHWAY	hsa04668:TNF signaling pathway	50	4.859086492	3.04E-22	4.734147248	6.75E-20	2.60E-21	3.88E-19
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	271	26.33624879	3.23E-22	1.746442017	1.56E-19	1.94E-20	4.63E-19
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	47	4.567541302	3.62E-22	5.537054057	1.37E-18	5.97E-20	6.69E-19
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	27	2.623906706	4.16E-22	10.98154338	1.58E-18	6.57E-20	7.68E-19
GOTERM_BP_DIRECT	GO:0033572~transferrin transport	25	2.429543246	4.28E-22	12.20171487	1.62E-18	6.49E-20	7.91E-19
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	47	4.567541302	9.39E-22	5.424816475	3.56E-18	1.37E-19	1.73E-18
KEGG_PATHWAY	hsa05120:Epithelial cell signaling in Helicobacter pylori infection	39	3.790087464	1.01E-21	5.897192975	2.24E-19	8.29E-21	1.29E-18
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	55	5.344995141	1.57E-21	4.600821597	1.44E-18	2.40E-19	2.45E-18
UP_KEYWORDS	Host cell receptor for virus entry	30	2.915451895	2.11E-21	9.495417077	8.09E-19	4.26E-20	2.93E-18
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	47	4.567541302	4.77E-21	4.761605302	1.06E-18	3.78E-20	6.08E-18
KEGG_PATHWAY	hsa04650:Natural killer cell mediated cytotoxicity	52	5.053449951	6.46E-21	4.318163162	1.43E-18	4.94E-20	8.23E-18
GOTERM_MF_DIRECT	GO:0001618~virus receptor activity	32	3.109815355	7.12E-21	8.18348735	6.55E-18	9.36E-19	1.11E-17
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	84	8.163265306	9.25E-21	3.126190999	3.51E-17	1.30E-18	1.71E-17
INTERPRO	IPR001304:C-type lectin	35	3.401360544	9.36E-21	7.305788935	1.13E-17	1.42E-18	1.51E-17
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	27	2.623906706	9.39E-21	8.289061454	2.08E-18	6.95E-20	1.20E-17
UP_SEQ_FEATURE	domain:C-type lectin	33	3.206997085	9.85E-21	7.954811967	2.50E-17	2.08E-18	1.74E-17
GOTERM_BP_DIRECT	GO:0032760~positive regulation of tumor necrosis factor production	27	2.623906706	2.34E-20	9.813294085	8.86E-17	3.16E-18	4.32E-17
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	31	3.012633625	2.61E-20	8.146991157	9.88E-17	3.41E-18	4.81E-17
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	43	4.178814383	2.85E-20	5.522881466	1.08E-16	3.60E-18	5.27E-17
KEGG_PATHWAY	hsa05164:Influenza A	62	6.02526725	3.81E-20	3.609923315	8.47E-18	2.73E-19	4.86E-17
GOTERM_BP_DIRECT	GO:0006952~defense response	31	3.012633625	7.69E-20	7.903797391	2.92E-16	9.41E-18	1.42E-16
UP_SEQ_FEATURE	domain:Sushi 1	25	2.429543246	7.74E-20	10.98139026	1.96E-16	1.51E-17	1.37E-16
UP_SEQ_FEATURE	domain:Sushi 2	25	2.429543246	7.74E-20	10.98139026	1.96E-16	1.51E-17	1.37E-16
GOTERM_MF_DIRECT	GO:0005102~receptor binding	69	6.705539359	8.77E-20	3.499136323	8.07E-17	1.01E-17	1.37E-16
GOTERM_BP_DIRECT	GO:0030449~regulation of complement activation	22	2.137998056	8.79E-20	12.52709393	3.33E-16	1.04E-17	1.62E-16
GOTERM_CC_DIRECT	GO:0016020~membrane	220	21.37998056	1.47E-19	1.811530815	7.07E-17	7.85E-18	2.10E-16
GOTERM_BP_DIRECT	GO:0032729~positive regulation of interferon-gamma production	26	2.526724976	2.26E-19	9.655270025	8.57E-16	2.60E-17	4.18E-16
UP_KEYWORDS	Cell adhesion	76	7.385811467	2.96E-19	3.214036789	1.14E-16	5.68E-18	4.11E-16
INTERPRO	IPR016186:C-type lectin-like	36	3.498542274	3.05E-19	6.430699931	3.69E-16	4.10E-17	4.94E-16
INTERPRO	IPR011162:MHC classes I/II-like antigen recognition protein	25	2.429543246	3.19E-19	10.32087643	3.86E-16	3.86E-17	5.16E-16
UP_SEQ_FEATURE	short sequence motif:Box 1 motif	19	1.846452867	3.97E-19	15.64848112	1.01E-15	7.20E-17	7.02E-16
INTERPRO	IPR003961:Fibronectin, type III	50	4.859086492	4.90E-19	4.487337579	5.93E-16	5.39E-17	7.93E-16
GOTERM_BP_DIRECT	GO:0030890~positive regulation of B cell proliferation	24	2.332361516	5.04E-19	10.51224665	1.91E-15	5.62E-17	9.30E-16
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	29	2.818270165	5.23E-19	6.995266148	1.16E-16	3.63E-18	6.67E-16
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	28	2.721088435	8.79E-19	8.391354786	3.33E-15	9.52E-17	1.62E-15
INTERPRO	IPR000436:Sushi/SCR/CCP	27	2.623906706	1.66E-18	8.799905168	2.01E-15	1.68E-16	2.69E-15
UP_KEYWORDS	Sushi	26	2.526724976	1.92E-18	9.404984533	7.35E-16	3.50E-17	2.66E-15
SMART	SM00408:IGc2	60	5.83090379	2.36E-18	3.591785714	5.66E-16	1.89E-16	3.05E-15
INTERPRO	IPR016187:C-type lectin fold	36	3.498542274	4.49E-18	5.971364221	5.43E-15	4.18E-16	7.27E-15
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	30	2.915451895	6.90E-18	7.217915837	2.62E-14	7.27E-16	1.28E-14
UP_KEYWORDS	Polymorphism	722	70.16520894	7.44E-18	1.214437799	2.85E-15	1.29E-16	1.03E-14
BIOCARTA	h_nktPathway:Selective expression of chemokine receptors during T-cell polarization	27	2.623906706	8.71E-18	5.205861414	1.99E-15	1.99E-15	1.12E-14
UP_KEYWORDS	Hydrogen ion transport	24	2.332361516	1.10E-17	9.921741925	4.22E-15	1.84E-16	1.53E-14
UP_KEYWORDS	Lectin	42	4.081632653	1.21E-17	4.975376433	4.62E-15	1.93E-16	1.67E-14
INTERPRO	IPR000157:Toll/interleukin-1 receptor homology (TIR) domain	19	1.846452867	1.24E-17	13.57592208	1.50E-14	1.07E-15	2.00E-14
GOTERM_BP_DIRECT	GO:0048247~lymphocyte chemotaxis	20	1.943634597	1.29E-17	12.20171487	4.88E-14	1.32E-15	2.38E-14
GOTERM_BP_DIRECT	GO:0032689~negative regulation of interferon-gamma production	20	1.943634597	1.29E-17	12.20171487	4.88E-14	1.32E-15	2.38E-14
SMART	SM00034:CLECT	34	3.304178814	1.49E-17	5.916701274	3.57E-15	8.93E-16	1.92E-14
UP_KEYWORDS	SCID	16	1.554907677	1.58E-17	18.00612423	6.05E-15	2.42E-16	2.19E-14
GOTERM_MF_DIRECT	GO:0046961~proton-transporting ATPase activity, rotational mechanism	19	1.846452867	2.35E-17	13.08177665	2.16E-14	2.40E-15	3.67E-14
INTERPRO	IPR003597:Immunoglobulin C1-set	28	2.721088435	2.84E-17	7.649590767	3.44E-14	2.29E-15	4.60E-14
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	36	3.498542274	3.07E-17	5.590603903	1.16E-13	3.06E-15	5.67E-14
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	35	3.401360544	5.00E-17	5.138951143	1.11E-14	3.36E-16	6.38E-14
UP_SEQ_FEATURE	domain:TIR	18	1.749271137	5.80E-17	14.23188177	2.82E-13	1.88E-14	2.00E-13
BIOCARTA	h_inflamPathway:Cytokines and Inflammatory Response	27	2.623906706	6.98E-17	5.026348952	2.53E-14	1.27E-14	1.44E-13
INTERPRO	IPR009079:Four-helical cytokine-like, core	25	2.429543246	7.28E-17	8.60073036	1.34E-13	8.44E-15	1.78E-13
KEGG_PATHWAY	hsa04966:Collecting duct acid secretion	22	2.137998056	8.99E-17	8.25495009	2.46E-14	7.77E-16	1.44E-13
GOTERM_BP_DIRECT	GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein	22	2.137998056	1.10E-16	9.889810997	4.21E-13	1.08E-14	2.00E-13
GOTERM_BP_DIRECT	GO:0009615~response to virus	35	3.401360544	2.35E-16	5.43530935	8.42E-13	2.11E-14	4.11E-13
KEGG_PATHWAY	hsa05166:HTLV-I infection	71	6.899902818	2.77E-16	2.831914696	4.93E-14	1.44E-15	2.78E-13
GOTERM_BP_DIRECT	GO:0046718~viral entry into host cell	30	2.915451895	3.10E-16	6.405900305	1.26E-12	3.08E-14	6.11E-13
GOTERM_BP_DIRECT	GO:0031663~lipopolysaccharide-mediated signaling pathway	20	1.943634597	5.11E-16	10.67650051	2.10E-12	5.01E-14	1.02E-12
GOTERM_BP_DIRECT	GO:0015991~ATP hydrolysis coupled proton transport	20	1.943634597	5.11E-16	10.67650051	2.10E-12	5.01E-14	1.02E-12
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	46	4.470359572	5.24E-16	3.819913566	1.23E-13	3.44E-15	7.11E-13
SMART	SM00032:CCP	26	2.526724976	6.45E-16	7.205742945	1.60E-13	3.20E-14	8.55E-13
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	25	2.429543246	8.97E-16	7.764727643	3.37E-12	7.83E-14	1.64E-12
UP_SEQ_FEATURE	domain:Ig-like C1-type	19	1.846452867	9.26E-16	11.73636084	2.25E-12	1.41E-13	1.57E-12
GOTERM_MF_DIRECT	GO:0048020~CCR chemokine receptor binding	17	1.652089407	1.29E-15	13.23145373	1.23E-12	1.23E-13	2.09E-12
GOTERM_BP_DIRECT	GO:0042110~T cell activation	23	2.235179786	2.14E-15	8.359472739	8.00E-12	1.82E-13	3.90E-12
GOTERM_BP_DIRECT	GO:0050830~defense response to Gram-positive bacterium	30	2.915451895	2.21E-15	6.02908264	8.42E-12	1.87E-13	4.11E-12
GOTERM_CC_DIRECT	GO:0010008~endosome membrane	43	4.178814383	2.33E-15	4.210585138	1.12E-12	1.12E-13	3.34E-12
GOTERM_BP_DIRECT	GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling	41	3.984450923	2.73E-15	4.350176605	1.05E-11	2.29E-13	5.13E-12
UP_KEYWORDS	Systemic lupus erythematosus	16	1.554907677	2.82E-15	14.73228346	1.06E-12	4.09E-14	3.84E-12
GOTERM_BP_DIRECT	GO:0042127~regulation of cell proliferation	44	4.275996113	3.35E-15	4.062841275	1.26E-11	2.69E-13	6.15E-12
UP_SEQ_FEATURE	domain:Ig-like C2-type	31	3.012633625	3.63E-15	5.835824537	9.30E-12	5.47E-13	6.47E-12
INTERPRO	IPR006052:Tumour necrosis factor	15	1.457725948	3.93E-15	15.48131465	4.70E-12	2.77E-13	6.28E-12
UP_KEYWORDS	Antimicrobial	31	3.012633625	4.43E-15	5.814477617	1.70E-12	6.29E-14	6.15E-12
UP_SEQ_FEATURE	repeat:TNFR-Cys 1	17	1.652089407	5.27E-15	12.92425161	1.32E-11	7.36E-13	9.23E-12
UP_SEQ_FEATURE	repeat:TNFR-Cys 2	17	1.652089407	5.27E-15	12.92425161	1.32E-11	7.36E-13	9.23E-12
UP_SEQ_FEATURE	sequence variant	744	72.303207	5.76E-15	1.181891653	1.47E-11	7.71E-13	1.02E-11
GOTERM_BP_DIRECT	GO:0097190~apoptotic signaling pathway	27	2.623906706	8.89E-15	6.496124253	3.37E-11	7.01E-13	1.64E-11
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	27	2.623906706	8.89E-15	6.496124253	3.37E-11	7.01E-13	1.64E-11
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	28	2.721088435	1.38E-14	6.132143882	5.22E-11	1.07E-12	2.54E-11
SMART	SM00407:IGc1	27	2.623906706	1.42E-14	6.216552198	3.41E-12	5.68E-13	1.83E-11
GOTERM_MF_DIRECT	GO:0005515~protein binding	604	58.69776482	1.57E-14	1.230783456	1.44E-11	1.31E-12	2.45E-11
UP_KEYWORDS	Cytolysis	13	1.263362488	1.61E-14	18.80996907	6.17E-12	2.20E-13	2.23E-11
KEGG_PATHWAY	hsa05320:Autoimmune thyroid disease	28	2.721088435	1.82E-14	5.45519429	4.04E-12	1.09E-13	2.32E-11
GOTERM_BP_DIRECT	GO:0032740~positive regulation of interleukin-17 production	13	1.263362488	1.85E-14	17.08240081	7.03E-11	1.41E-12	3.43E-11
UP_KEYWORDS	MHC II	14	1.360544218	1.87E-14	16.68214451	7.19E-12	2.48E-13	2.60E-11
UP_SEQ_FEATURE	domain:Ig-like C2-type 4	26	2.526724976	1.94E-14	6.762224527	4.90E-11	2.45E-12	3.41E-11
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	52	5.053449951	1.99E-14	3.390400162	7.58E-11	1.49E-12	3.69E-11
GOTERM_BP_DIRECT	GO:0032735~positive regulation of interleukin-12 production	17	1.652089407	2.06E-14	11.61603255	7.83E-11	1.51E-12	3.82E-11
GOTERM_CC_DIRECT	GO:0045121~membrane raft	44	4.275996113	2.58E-14	3.86928912	1.24E-11	1.13E-12	3.69E-11
GOTERM_BP_DIRECT	GO:0097191~extrinsic apoptotic signaling pathway	21	2.040816327	2.73E-14	8.541200407	1.04E-10	1.95E-12	5.05E-11
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	43	4.178814383	2.85E-14	3.92734326	2.61E-11	2.18E-12	4.44E-11
GOTERM_BP_DIRECT	GO:0090023~positive regulation of neutrophil chemotaxis	16	1.554907677	3.34E-14	12.42356423	1.27E-10	2.35E-12	6.17E-11
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	40	3.887269193	3.61E-14	4.141188076	1.37E-10	2.49E-12	6.67E-11
GOTERM_CC_DIRECT	GO:0008305~integrin complex	17	1.652089407	4.78E-14	11.40593476	2.30E-11	1.92E-12	6.85E-11
UP_KEYWORDS	Antibiotic	28	2.721088435	5.61E-14	5.97045172	2.15E-11	7.16E-13	7.77E-11
INTERPRO	IPR000827:CC chemokine, conserved site	16	1.554907677	6.80E-14	12.38505172	8.22E-11	4.57E-12	1.10E-10
SMART	SM00255:TIR	16	1.554907677	7.41E-14	11.40249433	1.78E-11	2.54E-12	9.56E-11
