V4	V1.x	V2.x	V3.x	V5.x	McaM	McoM	Pvalue	OR	CI.upper	CI.lower	Logistic.P	Sens	Spec	AUC	V1.y	V2.y	V3.y	V5.y	V6	V7	V8
cg04842426	chr7	136555777	136555778	CHRM2	0.281767397900825	0.0278201376828922	2.14289705294391e-35	12.5143291312336	17.7502245668363	8.46579920142941	4.20466421984891e-07	0.793931731984829	0.90625	0.895806995364517	chr7	136555777	136555778	CHRM2	F	Island	I
cg06023994	chr3	170137871	170137872	CLDN11	0.71599623490609	0.466357773259554	2.15854938571104e-40	5.87842630245564	6.92686739433371	4.93717969042518	9.36565319206778e-29	0.868520859671302	0.854166666666667	0.924923619890434	chr3	170137871	170137872	CLDN11	F	Island	II
cg07612562	chr7	145813915	145813916	CNTNAP2	0.299518593109572	0.0433834045367136	1.04982047742296e-28	8.94444767802788	12.2238262391632	6.32831955469292	1.09779827124229e-08	0.719342604298357	0.927083333333333	0.854048145806995	chr7	145813915	145813916	CNTNAP2	R	Island	I
cg20068058	chr11	46317859	46317860	CREB3L1	0.686472836575472	0.336150220271223	1.50821415342538e-43	4.42374820370648	5.21806337835854	3.71853219150783	1.02081290216674e-28	0.865992414664981	0.989583333333333	0.942767593763169	chr11	46317859	46317860	CREB3L1	R	S_Shore	II
cg17349389	chr2	80530770	80530771	CTNNA2	0.370891235443539	0.0473457104455674	7.9665475939284e-40	8.18613538164597	10.5096030815956	6.29167993041692	1.76106474680219e-13	0.849557522123894	0.927083333333333	0.921684049726085	chr2	80530770	80530771	CTNNA2	R	Island	I
cg01910869	chr13	78493182	78493183	EDNRB	0.255943738989183	0.0881516550252558	1.02036426070124e-30	11.0848014471488	14.2217177274584	8.38085584984273	7.13717151103596e-13	0.70417193426043	0.90625	0.867032764433207	chr13	78493182	78493183	EDNRB	R	Island	II
cg27525524	chr1	16468313	16468314	EPHA2	0.577302314928719	0.405933493674289	1.95507022442514e-37	7.10429654092029	8.53576838342962	5.82257863937737	2.63723211514255e-23	0.835651074589128	0.90625	0.907869785082174	chr1	16468313	16468314	EPHA2	F	S_Shelf	II
cg08575049	chr4	126238838	126238839	FAT4	0.404534362576027	0.160488414248714	1.04801470674299e-40	7.26423707620278	8.7322532927037	5.97949749682026	1.15125544988039e-23	0.853350189633375	0.947916666666667	0.926714601769911	chr4	126238838	126238839	FAT4	R	Island	II
cg25645687	chr3	138664505	138664506	FOXL2	0.245854999077762	0.0304119128291799	2.98259823912086e-29	11.2847772184463	15.5280342068246	7.92987007281923	2.15808122952137e-08	0.743362831858407	0.895833333333333	0.857616940581542	chr3	138664505	138664506	FOXL2	R	Island	I
cg04498349	chr16	10274317	10274318	GRIN2A	0.558530203999002	0.380414602283589	5.72804098762232e-30	4.95113380837994	6.00862483733892	3.98980824636794	1.17405295523434e-20	0.787610619469027	0.84375	0.862252423093131	chr16	10274317	10274318	GRIN2A	F	Island	II
cg05956679	chr16	223408	223409	HBA2	0.372288312331212	0.0898043358731861	1.5316741264106e-41	7.57297923862541	9.28962250501198	6.13322135812272	6.67880919265969e-20	0.855878634639697	0.96875	0.931455436156764	chr16	223408	223409	HBA2	R	Island	I
cg01108118	chr6	391189	391190	IRF4	0.391717461181139	0.075611436055005	2.40194303741297e-36	6.75940076341678	8.52886951121489	5.29576670505365	1.86314962405464e-15	0.72819216182048	1	0.901456489675516	chr6	391189	391190	IRF4	R	Island	II
cg21288861	chr17	45331061	45331062	ITGB3	0.259291168015075	0.100493761422921	1.14808467047803e-34	12.8769755977722	16.0228356878123	10.076188071783	2.23264448650685e-16	0.843236409608091	0.833333333333333	0.891448061525495	chr17	45331061	45331062	ITGB3	R	Island	II
cg03506489	chr11	30038788	30038789	KCNA4	0.394133016981874	0.129288288546931	5.90863434077501e-38	6.41900399344616	7.80172026156029	5.22361735318567	2.74655104051344e-21	0.833122629582807	0.96875	0.910898651495997	chr11	30038788	30038789	KCNA4	R	Island	II
cg00630958	chr1	65991461	65991462	LEPR	0.394959117302441	0.107499692992239	2.21259815072442e-36	6.42752638826623	8.07433603453018	5.05264450039241	6.51103314335173e-16	0.743362831858407	0.96875	0.901667193426043	chr1	65991461	65991462	LEPR	F	Island	II
cg00209038	chr2	48982683	48982684	LHCGR	0.437405851657738	0.10598864288861	5.88956930285661e-32	3.80443597646785	4.67105197249207	3.07074702948925	1.16413294522861e-19	0.781289506953224	0.927083333333333	0.874841972187105	chr2	48982683	48982684	LHCGR	R	Island	I
cg07862554	chr3	154797083	154797084	MME	0.400251171366074	0.170882288671303	6.23448010857993e-30	4.82774922007873	5.94872990847744	3.83940780186092	3.37104918270509e-18	0.771175726927939	0.885416666666667	0.862015381373788	chr3	154797083	154797084	MME	F	N_Shore	II
cg12702981	chr3	119528656	119528657	NR1I2	0.601351882726104	0.177635030326811	4.33004493439805e-43	4.02381833579956	4.74477559928517	3.38577207033664	6.98928175131307e-29	0.890012642225032	0.916666666666667	0.940173303834808	chr3	119528656	119528657	NR1I2	R	N_Shore	I
cg03888033	chr1	156818905	156818906	NTRK1	0.58504181480135	0.411178028091591	6.608729366024e-31	4.32509190362774	5.23108133433224	3.48832756550041	4.1464046864742e-21	0.81795195954488	0.854166666666667	0.868231142014328	chr1	156818905	156818906	NTRK1	F	Island	II
cg06671450	chr9	36985987	36985988	PAX5	0.344165870180128	0.167890106113851	8.40641563144946e-29	6.40161316560364	7.9439627543082	5.0389139447707	6.0068819783725e-17	0.759797724399494	0.90625	0.854680257058576	chr9	36985987	36985988	PAX5	R	Island	II
cg09371281	chr9	8858574	8858575	PTPRD	0.548674421759883	0.234017716909368	5.92292240446335e-35	3.80372651161692	4.55934833512678	3.12742436060411	6.09850216818365e-24	0.762326169405815	0.96875	0.893173198482933	chr9	8858574	8858575	PTPRD	R	Island	II
cg22418909	chr8	41166738	41166739	SFRP1	0.328138140218256	0.10749639410292	1.90135742350235e-28	5.54718561195387	6.99912867161827	4.30687554264743	5.16784457696263e-15	0.735777496839444	0.895833333333333	0.852349346818373	chr8	41166738	41166739	SFRP1	F	Island	II
cg17820890	chr10	99531790	99531791	SFRP5	0.25489912273459	0.029419407795285	6.41700431799415e-33	18.121685726439	25.6449763356703	12.0699073646504	5.5035064375164e-07	0.763590391908976	0.885416666666667	0.880807522123894	chr10	99531790	99531791	SFRP5	F	Island	I
cg03001305	chr17	40439492	40439493	STAT5A	0.519348619100407	0.232788610361241	1.11194913601863e-30	3.90356296949506	4.7866558636679	3.13078011140152	3.08686967300832e-19	0.721871049304678	0.947916666666667	0.866795722713864	chr17	40439492	40439493	STAT5A	F	N_Shore	II
cg00927554	chr12	95941920	95941921	USP44	0.513880352126491	0.171650425318013	5.58373334805506e-28	3.3511336775903	4.14362325310655	2.66777999216309	5.34100147176159e-18	0.753530166880616	0.934782608695652	0.856253837137914	chr12	95941920	95941921	USP44	R	Island	II
cg08701843	chr16	84328855	84328856	WFDC1	0.229392496654199	0.0441275759012308	1.41066294900221e-28	14.3438426774523	19.2378991067574	10.2918879983128	1.51480971528808e-09	0.652338811630847	0.989583333333333	0.853205330804888	chr16	84328855	84328856	WFDC1	R	S_Shore	I
cg02524954	chr11	32454964	32454965	WT1	0.173026364157649	0.0235521341175682	2.34966872621719e-41	43.9963047281246	56.6012230739867	33.3125998290493	8.3922548143063e-13	0.824050632911392	0.958333333333333	0.930432489451477	chr11	32454964	32454965	WT1	R	Island	I
