	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
209277_at	0.583	0.45	-0.7644893	6.762311	-0.0313	TFPI2
215469_at	0.605	0.474	0.724422	6.792299	0.0305	SLITRK5
210781_x_at	0.629	0.501	-0.6808857	6.823107	-0.0466	GRIN1
207237_at	0.64	0.513	0.6605913	6.836833	0.034	KCNA3
215310_at	0.648	0.523	0.6453989	6.846844	0.079	APC
206893_at	0.649	0.525	-0.6429221	6.848454	-0.0228	SALL1
205915_x_at	0.651	0.527	0.6397934	6.85048	0.0412	GRIN1
217214_s_at	0.697	0.581	-0.5579425	6.900038	-0.0298	SLC6A2
210517_s_at	0.708	0.594	0.5378762	6.911173	0.136	AKAP12
208243_s_at	0.72	0.61	0.5150489	6.923352	0.0373	CNR1
207557_s_at	0.737	0.631	0.4845632	6.938807	0.0604	RYR2
204154_at	0.739	0.633	0.4824232	6.939857	0.0909	CDO1
213217_at	0.743	0.639	0.4739266	6.94398	0.0477	ADCY2
206876_at	0.757	0.656	-0.4493303	6.955509	-0.0225	SIM1
221360_s_at	0.784	0.69	-0.4015801	6.976156	-0.0224	GHSR
208552_at	0.784	0.691	0.4015612	6.976163	0.0183	GRIK4
219642_s_at	0.824	0.743	-0.3305355	7.002622	-0.0171	PEX5L
220564_at	0.857	0.787	0.2719326	7.02061	0.0128	RNLS
216933_x_at	0.86	0.792	-0.2655498	7.022359	-0.0181	APC
208327_at	0.86	0.793	0.2644976	7.022644	0.0163	CYP2A13
215047_at	0.866	0.801	-0.2542581	7.025352	-0.0178	TRIM58
206622_at	0.874	0.812	0.2396395	7.029034	0.0146	TRH
214044_at	0.953	0.926	0.0938085	7.053851	0.013	RYR2
219107_at	0.974	0.957	-0.0541068	7.056851	-0.00656	BCAN
216610_at	0.98	0.967	0.0421753	7.057438	0.00199	SLC6A2
220117_at	0.984	0.973	0.0346248	7.057734	0.00171	ZNF385D
36030_at	0.996	0.993	-0.0087987	7.058307	-0.00102	IFFO1
