	wgEncodeBroadHistoneGm12878H3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneGm12878H3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneGm12878H3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k4me3StdSig.bigWig.tab
chr11:113345385-113346235	13.073	1.982	5.327	1.874	5.239	13.762	1.782	2.922	22.163	1.487	5.676	4.840	1.870	1.732	1.372	0.926	5.327	9.520	0.889	2.152	2.554
chr11:113348098-113348395	0.000	2.434	0.931	2.783	3.701	1.471	0.654	7.218	3.171	1.857	1.162	0.877	0.000	1.265	1.500	0.200	2.944	2.101	1.805	1.643	1.141
chr11:113348445-113348522	0.000	0.400	2.010	2.625	3.013	0.000	0.961	5.351	0.000	2.000	0.880	1.000	1.000	0.863	0.000	1.000	1.206	0.929	0.000	0.745	0.000
chr11:17407485-17407715	3.183	1.890	1.063	4.751	8.086	3.415	1.352	3.424	0.991	0.000	2.207	0.000	0.771	5.713	1.650	0.843	1.843	0.000	0.000	0.000	0.961
chr11:17408225-17408475	0.867	8.072	3.584	2.504	7.324	2.736	1.248	6.140	1.500	0.640	1.907	1.044	1.526	6.908	2.140	0.925	0.720	0.980	0.840	0.440	0.937
chr11:17410225-17411335	13.014	3.166	10.878	4.603	4.250	12.234	2.592	3.485	26.581	2.617	8.553	8.657	4.438	2.653	20.803	2.364	2.084	11.795	0.868	3.614	10.391
chr11:17411345-17411591	1.596	5.415	4.433	4.704	9.078	6.357	1.239	2.358	7.188	0.930	6.847	2.787	0.907	13.218	8.436	0.933	7.169	2.038	0.966	2.780	2.490
chr11:17413085-17413432	0.898	9.131	2.548	3.089	2.431	0.531	1.860	3.105	0.889	1.931	0.919	0.750	3.458	4.171	0.889	0.000	0.969	0.902	0.000	0.842	3.191
chr11:67347065-67347355	3.689	22.709	11.074	3.875	10.272	1.447	3.418	9.922	4.514	0.878	16.371	3.307	8.612	31.653	12.277	2.346	4.589	2.800	0.800	3.661	2.543
chr11:67347385-67347755	1.594	11.261	6.917	5.497	5.229	1.745	2.027	9.736	2.752	0.000	9.532	2.120	3.461	21.227	6.676	3.431	9.921	4.122	0.907	2.855	3.111
chr11:67348885-67349064	0.000	2.696	1.172	2.627	8.291	2.336	0.436	1.506	1.854	1.032	1.975	2.130	0.692	6.669	2.899	1.050	6.786	3.273	0.000	0.000	0.939
chr11:67349065-67349295	0.000	2.194	1.735	6.160	5.245	4.656	1.396	1.650	1.356	1.604	0.925	1.290	1.045	9.945	6.912	1.583	15.410	5.937	0.000	0.903	0.971
chr11:67349985-67350375	2.052	13.770	9.526	6.944	16.368	2.090	1.223	3.438	3.003	2.136	4.722	0.955	43.987	24.878	35.489	7.731	19.967	8.344	0.898	2.279	4.887
chr11:67350900-67351370	36.303	0.822	24.421	12.791	1.717	21.748	11.340	3.105	67.105	33.904	2.489	32.306	22.758	1.617	24.872	47.331	2.793	28.488	18.371	2.087	36.309
chr11:67351425-67351655	43.156	2.120	24.996	42.477	1.287	35.259	23.571	2.099	118.941	45.535	2.042	82.670	31.717	2.245	42.987	74.891	0.865	48.683	32.469	0.600	74.566
chr11:67351725-67352115	48.732	5.954	50.791	30.057	10.314	40.968	12.525	4.372	153.499	42.359	11.267	103.066	39.006	11.325	56.464	109.610	2.249	76.166	24.870	3.206	98.535
chr11:67352140-67352775	26.553	12.074	38.914	11.488	23.605	16.632	6.447	8.366	43.867	14.162	35.270	40.461	30.133	26.820	41.892	68.456	14.695	52.902	8.365	11.631	43.058
chr11:67352865-67352868	10.280	10.120	28.560	8.000	22.600	8.040	2.920	10.080	12.360	3.000	30.560	23.280	11.640	21.200	20.400	70.720	24.760	38.600	2.000	4.840	12.960
chr11:67352941-67353065	8.792	13.395	31.427	9.192	23.410	7.448	3.137	8.367	12.447	3.767	30.444	14.375	15.265	20.881	23.676	39.238	24.189	23.686	2.766	8.280	13.587
chr12:21281700-21281850	0.987	0.820	1.840	2.413	0.953	1.927	0.000	2.647	0.960	1.787	1.000	0.700	1.000	0.790	0.680	0.000	0.940	2.167	0.000	1.160	0.850
chr12:21282412-21282515	0.000	0.000	2.583	0.619	1.153	0.000	0.000	0.000	0.000	1.919	1.437	0.000	0.923	2.350	2.301	0.000	0.000	0.000	0.000	0.810	0.960
chr12:25402773-25402775	11.680	7.480	43.680	2.000	8.480	20.240	1.000	8.280	11.640	16.000	24.680	47.360	4.120	14.200	14.800	6.600	9.880	31.120	7.880	4.320	29.120
chr12:25402820-25403735	21.619	3.310	45.701	15.255	2.752	34.795	9.482	5.785	94.897	24.433	13.875	83.916	21.793	9.189	33.339	20.162	5.462	54.953	27.861	3.648	77.739
chr12:25403840-25404555	7.713	4.388	18.834	9.301	2.316	23.494	9.843	2.671	79.001	15.956	6.943	46.892	12.450	4.384	33.565	12.202	4.385	22.279	10.940	3.439	40.032
chr12:25404860-25404907	2.000	11.713	2.048	8.986	12.445	9.379	8.384	4.268	4.185	7.857	14.170	4.494	12.241	16.218	29.022	1.809	3.000	4.253	2.511	14.078	5.587
chr12:25405643-25405715	1.040	5.038	4.088	1.750	4.486	0.000	0.000	1.112	1.393	0.965	2.861	1.550	1.000	1.958	2.818	0.000	0.817	1.000	0.000	1.486	3.431
chr12:25405940-25406170	1.297	11.588	8.779	1.357	0.941	0.000	1.960	1.052	0.948	0.000	3.294	1.805	1.118	2.042	1.078	1.363	1.760	4.249	0.000	0.000	2.357
chr12:25406345-25406559	2.112	11.273	15.624	3.124	1.834	2.286	0.000	0.872	1.183	1.263	2.669	2.690	1.500	1.500	2.217	1.000	0.895	1.861	1.963	1.902	3.139
chr12:25406905-25406937	2.000	12.790	3.030	9.925	2.835	0.680	1.000	3.000	1.105	6.730	0.000	1.330	2.000	2.475	0.000	0.000	0.000	2.000	1.500	2.000	1.270
chr12:25407324-25407595	2.014	4.194	2.209	5.257	4.526	1.219	2.688	6.293	3.025	2.214	4.981	2.973	0.774	6.937	2.432	0.000	0.810	1.400	1.684	1.889	3.753
chr12:48296940-48297435	1.804	17.592	12.669	2.871	2.000	2.796	11.095	19.331	18.183	2.663	13.097	2.253	2.108	15.544	5.941	36.251	18.379	57.111	19.788	14.961	35.135
chr12:48297500-48297615	1.904	19.930	15.793	1.383	5.814	0.305	17.710	35.960	30.271	2.167	30.722	3.899	5.096	28.850	9.850	74.299	16.522	115.530	28.118	13.268	50.635
chr12:48297700-48298095	2.508	17.020	16.837	5.196	13.689	4.251	6.610	15.347	41.749	3.104	33.054	13.639	1.272	25.709	14.398	56.979	8.263	85.965	17.875	5.320	57.525
chr12:48298285-48299335	3.784	7.119	28.010	17.330	8.110	18.364	6.413	9.781	60.761	4.062	23.967	34.822	4.145	13.848	41.124	37.951	5.836	69.050	9.248	5.873	73.687
chr12:48299345-48299535	0.000	6.374	9.125	4.597	12.444	30.672	1.702	5.722	11.708	1.453	14.598	9.804	2.379	8.347	18.015	6.943	11.316	36.682	0.000	6.075	11.037
chr12:48299625-48299775	0.960	3.847	3.040	3.413	6.020	11.100	0.864	2.713	2.067	1.560	1.587	2.513	0.000	7.233	6.780	3.180	6.720	11.207	0.000	5.336	1.820
chr12:48301902-48302315	1.400	1.483	2.301	1.706	1.347	1.466	2.025	4.482	1.594	0.000	1.878	0.839	3.332	2.349	0.425	0.880	1.630	1.622	0.000	1.161	1.558
chr15:75040961-75041231	0.000	0.852	0.955	0.996	2.704	2.743	2.089	0.000	0.667	1.408	0.000	0.947	0.000	2.687	2.513	1.387	0.956	0.872	0.000	1.050	1.936
chr15:75043132-75043185	0.000	0.000	0.000	4.257	5.087	1.360	2.226	1.000	0.000	0.872	2.245	0.000	1.817	0.000	2.340	1.000	1.000	0.320	0.000	0.000	0.371
chr16:28620605-28620615	0.000	2.960	0.360	4.920	15.000	3.000	2.000	5.880	5.840	0.000	1.000	0.000	18.320	12.400	15.160	2.920	1.000	0.000	0.000	0.000	3.000
chr16:28620620-28620855	0.961	3.270	0.867	3.564	9.336	1.929	3.747	4.637	10.762	0.876	0.838	0.900	14.262	15.791	14.277	1.536	3.759	1.216	0.000	1.048	2.400
chr16:28621065-28622095	1.337	2.542	2.947	4.501	7.981	1.493	1.899	7.768	14.417	3.035	4.596	1.179	9.763	14.222	11.876	1.193	3.365	2.047	1.232	2.346	3.497
chr16:28622125-28622369	0.000	4.717	1.418	3.346	10.458	2.548	0.812	3.707	2.295	0.910	0.891	0.000	1.005	6.623	1.429	1.250	2.341	0.994	0.945	2.287	1.968
chr16:28633160-28633436	0.822	2.301	1.707	5.117	10.710	2.314	0.956	1.097	0.822	2.304	0.927	0.840	0.857	6.133	0.992	0.863	4.968	2.826	2.985	1.679	1.140
chr16:28633905-28634395	1.377	2.468	1.017	2.412	5.604	2.037	1.600	1.162	1.878	1.293	2.839	1.390	1.099	1.207	1.397	0.895	2.804	8.009	0.996	2.379	2.647
chr16:28634405-28635075	0.000	2.822	8.381	4.556	2.374	3.025	0.925	2.297	15.564	2.720	8.058	10.555	1.080	0.925	0.948	1.644	3.383	19.165	0.000	2.812	6.679
chr16:31104420-31104995	6.423	8.712	18.953	2.329	9.840	12.982	11.433	8.023	82.068	3.202	18.286	13.382	10.130	21.044	21.112	6.277	10.987	10.388	6.196	6.434	26.136
chr16:31105365-31105815	31.224	2.003	58.753	10.695	4.601	53.216	15.817	3.045	250.102	20.133	12.098	108.300	45.353	5.955	88.934	45.861	5.208	87.312	27.925	2.352	144.403
chr16:31105965-31106375	26.046	2.002	32.340	5.498	3.909	18.684	5.881	1.662	96.399	13.651	2.260	44.930	18.678	2.105	22.675	10.360	1.915	15.237	8.677	1.673	48.936
chr16:31106700-31106895	5.487	21.954	14.709	4.304	7.350	1.472	1.000	3.318	2.997	3.139	6.835	1.326	11.014	20.788	8.477	1.866	6.031	2.846	4.632	5.390	4.641
chr16:31107025-31107038	2.920	20.760	9.560	9.120	6.480	4.000	5.480	9.640	2.000	10.400	7.720	1.000	8.720	31.240	7.600	3.000	6.720	0.920	0.000	9.960	4.000
chr16:31107098-31107430	6.320	16.660	6.358	2.917	3.689	2.232	2.655	5.207	2.135	2.993	13.094	1.648	6.144	21.474	7.727	0.915	4.945	2.936	0.922	9.355	2.069
chr16:69758794-69759290	5.203	10.044	11.184	4.356	11.171	2.347	18.597	15.186	17.590	19.829	34.673	54.082	8.066	22.983	21.063	8.384	20.853	17.511	9.865	9.926	53.063
chr16:69759345-69759930	7.608	7.892	18.165	5.835	7.771	5.109	15.323	10.488	45.025	12.580	25.186	48.775	42.618	13.417	35.584	6.063	13.594	12.523	12.246	5.768	54.885
chr16:69760285-69760755	28.444	3.332	28.997	27.359	2.924	20.586	28.980	4.345	69.377	53.072	9.945	35.684	60.275	4.218	45.395	27.195	4.181	35.971	24.070	3.036	31.570
chr16:69760760-69761035	66.330	5.989	64.145	56.216	9.420	31.274	95.485	9.449	45.630	177.953	29.262	56.538	228.328	6.556	87.193	73.689	16.544	43.279	87.041	8.476	48.496
chr16:69761280-69761710	11.785	7.455	19.441	9.552	8.873	4.394	15.996	5.432	12.163	63.697	26.398	11.273	90.806	5.802	41.206	18.716	11.109	8.205	21.673	5.947	8.653
chr16:69761860-69762095	2.538	6.944	9.545	9.724	14.735	3.375	2.451	6.506	3.200	12.764	20.017	2.003	87.168	27.346	35.398	6.136	3.832	1.610	8.722	8.977	3.562
chr17:37843185-37843275	0.800	1.347	2.589	5.300	5.444	0.000	1.178	4.789	5.989	0.000	2.256	2.733	16.264	12.869	9.613	3.367	2.044	3.707	0.600	4.000	2.220
chr17:37843280-37843955	2.323	7.000	14.331	8.636	12.675	7.868	2.982	8.055	14.080	2.060	8.277	8.043	38.592	23.649	40.365	2.476	10.617	10.860	2.051	5.769	14.601
chr17:37844005-37844675	28.480	1.712	47.992	50.809	5.200	40.025	27.682	2.444	121.606	28.549	7.368	118.170	84.832	4.077	76.261	26.635	2.381	82.822	26.603	3.270	71.016
chr17:37844805-37845775	6.412	11.311	35.596	35.125	13.309	19.774	7.014	13.999	31.865	9.270	32.384	28.188	33.934	16.679	45.463	9.286	25.834	44.127	5.547	13.188	33.125
chr17:37852400-37852655	1.015	0.267	0.943	7.432	7.820	2.546	0.000	1.424	0.970	1.760	0.850	0.000	0.000	1.329	0.000	0.925	0.000	0.000	1.443	0.912	0.473
chr17:37855185-37855391	0.000	1.105	1.063	4.083	9.160	3.319	1.670	1.895	1.248	0.000	3.672	0.000	0.929	1.214	1.046	0.939	3.053	0.000	0.000	3.729	1.884
chr17:37855867-37856075	0.000	0.440	1.764	11.385	3.500	28.340	13.113	7.149	45.637	3.668	15.785	41.881	1.564	1.470	0.000	17.519	10.444	36.664	13.033	2.966	34.501
chr17:37856100-37857635	1.057	1.527	1.861	16.151	3.475	38.888	8.478	4.088	92.259	4.543	6.049	26.771	1.260	1.616	1.148	7.645	5.776	34.902	5.527	3.215	50.077
chr17:37857645-37857895	0.822	2.332	1.286	15.094	15.688	37.474	1.529	10.682	32.388	1.372	13.830	6.930	2.100	4.274	3.495	2.148	20.102	13.094	1.258	6.197	20.078
chr17:37857905-37858105	0.921	2.696	0.883	10.058	16.869	26.681	1.019	8.671	9.966	2.395	9.464	4.120	2.400	11.412	2.246	1.835	14.452	8.309	1.255	8.824	8.540
chr17:41276480-41276755	21.986	4.494	59.962	17.703	6.987	35.415	7.310	4.014	41.570	26.946	11.384	101.913	64.022	6.614	64.505	26.220	6.488	63.733	19.418	6.535	67.783
chr17:41276980-41277275	53.024	1.192	52.111	20.776	6.607	45.487	31.906	6.690	167.384	55.185	14.096	125.136	137.399	4.392	83.505	65.826	4.064	93.375	51.540	3.459	86.483
chr17:41277360-41277675	12.097	0.440	23.048	11.684	1.368	22.446	20.553	2.053	91.140	41.721	3.570	100.709	42.669	1.370	43.761	33.398	1.174	36.972	26.101	0.960	66.408
chr17:41277705-41277915	59.071	3.091	83.469	42.445	3.634	63.818	29.992	3.042	128.587	111.004	7.409	359.178	259.936	3.128	143.757	238.262	0.929	154.470	73.565	1.410	147.001
chr17:41277960-41278250	21.383	7.365	73.603	28.413	11.898	41.371	16.861	13.338	95.945	35.951	29.687	135.869	213.834	7.086	98.737	167.490	11.669	164.665	39.435	4.698	104.756
chr17:41278265-41278662	7.289	14.291	24.295	10.346	10.627	9.381	5.877	9.818	35.545	7.641	24.050	32.387	69.356	18.471	51.229	35.951	12.770	74.468	9.848	9.660	31.094
chr17:41279480-41279710	0.982	2.141	2.451	0.861	1.075	1.096	0.000	0.864	0.000	0.511	1.000	0.800	1.279	2.130	2.006	0.917	2.135	1.222	0.956	0.965	0.794
chr17:41280980-41281475	2.462	2.438	4.188	3.606	1.062	1.208	2.112	3.666	1.629	18.596	33.597	12.720	3.811	4.532	2.345	45.464	9.194	12.736	4.767	4.610	3.600
chr17:61551560-61551815	1.321	0.000	0.857	0.929	2.570	0.000	0.000	1.447	1.226	21.630	23.724	5.267	6.245	15.048	5.432	2.173	0.988	1.275	0.000	1.427	0.965
chr17:61551945-61552170	0.280	1.126	0.818	2.025	3.547	1.884	1.062	1.467	0.833	39.111	30.515	6.182	3.044	15.217	1.003	0.965	1.884	2.146	0.000	0.780	1.301
chr17:61553052-61553775	0.925	1.345	1.234	2.837	19.985	6.333	0.925	1.686	1.881	6.401	11.559	1.949	2.342	15.717	2.990	0.822	2.881	1.944	1.379	3.232	2.198
chr17:61553785-61555116	6.971	4.367	9.363	3.140	5.107	14.461	1.850	3.965	19.871	6.711	9.219	18.496	2.155	3.972	11.943	1.198	3.588	8.979	2.552	4.577	14.645
chr17:61555154-61555504	1.620	8.609	4.646	7.395	23.043	17.328	1.850	11.227	6.583	11.418	27.633	39.155	1.657	15.242	2.016	0.899	12.644	12.367	1.851	11.302	7.416
chr17:61556025-61556215	2.092	2.344	2.042	1.456	17.446	2.526	5.528	33.962	7.837	15.022	34.747	13.656	0.769	17.321	4.116	3.295	35.488	6.443	8.884	26.132	10.192
chr17:61556280-61556421	2.358	5.614	2.312	2.972	21.132	1.568	1.762	10.976	1.510	2.894	18.072	7.261	2.417	20.756	2.105	0.747	23.375	2.498	2.203	6.613	3.773
chr17:61558177-61558616	1.657	2.372	0.925	2.263	4.538	1.969	1.314	1.780	1.728	1.584	1.521	1.839	0.883	3.098	0.000	0.822	2.820	1.878	0.000	0.939	1.667
chr17:61559672-61560163	0.000	1.026	1.446	4.607	1.173	1.622	2.613	1.347	0.902	1.771	2.206	0.996	1.083	1.912	0.889	0.857	1.514	1.120	0.889	0.905	1.152
chr17:61561209-61561335	0.000	0.000	2.947	3.644	2.270	2.695	0.854	0.000	1.138	0.000	2.000	0.000	0.771	1.989	0.000	0.000	1.523	0.964	0.000	0.000	0.791
chr17:61562065-61562495	0.936	0.925	0.925	2.437	5.341	0.944	1.972	0.853	1.324	1.161	0.750	1.200	0.945	5.909	2.438	0.822	1.694	0.889	0.920	1.386	1.357
chr17:61562565-61562715	0.000	0.861	1.987	3.531	2.920	1.193	2.367	1.000	0.983	0.988	1.733	0.000	2.260	4.481	3.643	0.000	1.157	0.000	0.830	0.892	0.000
chr17:61563565-61563573	0.000	0.000	2.000	2.000	4.000	0.040	0.000	0.000	0.000	0.040	2.000	1.000	7.360	4.000	1.000	1.000	0.000	1.000	2.000	1.000	2.000
chr18:653601-653831	1.006	1.109	5.196	3.367	4.801	1.289	0.898	2.957	1.765	2.448	1.812	3.024	4.387	8.784	5.697	0.873	0.954	1.000	1.135	1.003	2.712
chr18:656840-657035	7.240	0.918	6.257	0.833	1.226	2.908	1.692	0.956	2.976	0.853	2.714	9.006	14.449	3.477	14.337	4.290	2.693	5.305	1.348	2.113	6.463
chr18:657220-658510	38.143	1.385	41.325	23.795	2.858	45.534	23.342	3.275	144.248	47.442	5.104	90.899	102.623	3.320	77.342	17.588	2.627	41.296	21.079	2.061	87.148
chr18:658585-659015	32.561	6.510	42.267	13.177	12.814	30.609	16.499	4.227	69.512	27.379	20.165	89.667	100.048	16.235	92.514	8.086	7.650	17.712	9.658	9.064	51.498
chr18:659260-659282	14.338	11.200	40.331	7.949	16.807	3.724	1.975	2.487	16.247	8.576	29.218	32.084	32.502	53.469	24.956	0.769	8.515	7.644	1.000	5.949	12.660
chr19:16008825-16009055	0.000	0.705	1.474	4.076	1.874	0.792	0.000	0.990	0.000	0.560	0.000	1.044	0.884	4.303	0.869	1.613	1.141	0.843	1.560	1.651	0.819
chr19:16009085-16009160	0.000	1.000	0.925	0.000	0.824	1.000	0.000	0.872	0.000	0.000	0.686	0.850	0.000	3.683	1.413	2.467	1.000	0.000	0.000	0.000	0.968
chr19:38920339-38920455	0.934	14.699	4.660	2.069	3.117	0.556	4.338	2.200	1.447	1.907	0.781	0.000	2.996	7.136	3.354	0.000	1.060	0.000	1.034	0.756	2.569
chr19:38922025-38922048	0.000	0.000	3.360	1.880	2.400	2.000	1.000	4.760	2.000	0.000	1.000	1.000	2.000	5.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
chr19:38924020-38924390	0.893	5.672	4.103	1.164	3.695	3.089	2.933	4.045	7.913	1.000	3.145	1.714	9.458	9.136	19.362	0.000	2.296	4.255	0.000	1.358	1.449
chr19:38924565-38924607	1.190	6.310	5.757	3.113	10.247	37.787	14.733	7.157	53.952	0.000	5.643	2.000	6.794	19.746	34.080	0.000	3.737	0.200	0.000	1.127	0.000
chr19:38925220-38925675	0.000	2.527	0.973	12.504	8.360	11.847	15.151	8.918	20.429	1.320	1.635	0.945	10.890	14.851	19.265	0.855	1.869	1.970	0.000	0.889	1.511
chr19:41354371-41354830	0.000	1.153	1.667	4.496	7.080	12.445	0.725	2.421	4.220	1.511	3.485	0.945	1.590	3.756	1.106	1.351	1.535	3.323	0.000	1.889	2.442
chr19:41354965-41355115	0.000	0.720	0.877	2.977	5.308	3.749	1.125	0.953	0.080	1.000	0.987	0.941	1.169	4.829	0.000	1.565	1.679	1.591	0.000	0.240	2.588
chr19:41355165-41355222	0.000	0.000	1.000	1.326	3.404	1.168	2.000	2.124	0.000	1.000	0.560	1.168	2.474	6.561	0.000	1.000	0.938	0.480	0.000	1.960	1.024
chr19:41495405-41495555	0.000	2.133	1.496	4.191	2.847	0.653	1.242	1.000	1.512	1.141	1.711	0.891	2.047	1.453	0.973	0.000	0.000	0.823	0.876	1.600	2.073
chr19:41495645-41495742	0.000	3.035	3.647	2.887	1.078	0.800	1.753	0.000	0.000	3.541	2.412	2.062	7.381	11.581	0.000	0.000	1.951	1.790	0.714	1.000	0.763
chr19:41497540-41497790	0.943	1.326	1.505	6.090	1.530	1.625	1.546	0.844	0.617	0.889	0.000	0.887	2.068	1.276	0.978	0.930	0.000	1.322	0.000	1.200	2.132
chr1:115258640-115259290	88.534	4.484	79.692	49.549	4.456	74.662	106.945	2.771	172.685	191.625	13.034	327.985	175.147	2.854	142.849	311.832	3.580	136.724	120.126	4.734	168.100
chr1:115259325-115259555	31.813	1.500	15.923	18.194	1.474	23.036	32.664	1.324	64.113	84.686	3.251	65.750	53.261	1.590	52.386	108.698	2.752	41.125	56.562	1.084	48.584
chr1:115259585-115259850	14.610	10.501	24.593	16.361	5.612	20.098	52.521	13.322	34.481	45.976	33.537	67.254	65.533	17.649	58.248	129.651	20.264	33.947	36.058	9.538	39.866
chr1:115261778-115262015	0.920	1.139	1.076	3.137	0.769	3.127	5.695	2.717	1.392	2.992	1.624	3.788	3.104	0.736	1.489	27.219	7.707	3.081	1.132	2.278	1.433
