wgEncodeAwgDnaseUwNhaUniPk	NH-A	None	UW
wgEncodeAwgDnaseUwNhdfadUniPk	NHDF-Ad	None	UW
wgEncodeAwgDnaseUwNhdfneoUniPk	NHDF-neo	None	UW
wgEncodeAwgDnaseUwNhlfUniPk	NHLF	None	UW
wgEncodeAwgDnaseUwNt2d1UniPk	NT2-D1	None	UW
wgEncodeAwgDnaseUwPanc1UniPk	PANC-1	None	UW
wgEncodeAwgDnaseUwPrecUniPk	PrEC	None	UW
wgEncodeAwgDnaseUwRptecUniPk	RPTEC	None	UW
wgEncodeAwgDnaseUwSaecUniPk	SAEC	None	UW
wgEncodeAwgDnaseUwSkmcUniPk	SKMC	None	UW
wgEncodeAwgDnaseUwSknmcUniPk	SK-N-MC	None	UW
wgEncodeAwgDnaseUwSknshraUniPk	SK-N-SH_RA	None	UW
wgEncodeAwgDnaseUwTh2UniPk	Th2	None	UW
wgEncodeAwgDnaseUwWerirb1UniPk	WERI-Rb-1	None	UW
wgEncodeAwgDnaseUwWi38UniPk	WI-38	None	UW
wgEncodeAwgDnaseUwWi38tamoxifentamoxifenUniPk	WI-38	4OHTAM_20nM_72hr	UW
wgEncodeAwgDnaseUwdukeA549UniPk	A549	None	AWG
wgEncodeAwgDnaseUwdukeGm12878UniPk	GM12878	None	AWG
wgEncodeAwgDnaseUwdukeH1hescUniPk	H1-hESC	None	AWG
wgEncodeAwgDnaseUwdukeHelas3UniPk	HeLa-S3	None	AWG
wgEncodeAwgDnaseUwdukeHepg2UniPk	HepG2	None	AWG
wgEncodeAwgDnaseUwdukeHmecUniPk	HMEC	None	AWG
wgEncodeAwgDnaseUwdukeHsmmUniPk	HSMM	None	AWG
wgEncodeAwgDnaseUwdukeHsmmtubeUniPk	HSMMtube	None	AWG
wgEncodeAwgDnaseUwdukeHuvecUniPk	HUVEC	None	AWG
wgEncodeAwgDnaseUwdukeK562UniPk	K562	None	AWG
wgEncodeAwgDnaseUwdukeLncapUniPk	LNCaP	None	AWG
wgEncodeAwgDnaseUwdukeMcf7UniPk	MCF-7	None	AWG
wgEncodeAwgDnaseUwdukeNhekUniPk	NHEK	None	AWG
wgEncodeAwgDnaseUwdukeTh1UniPk	Th1	None	AWG
